"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
København;505886;488546;295126;78.4;75.8;45.8;644854
Frederiksberg;86507;83899;56484;83.6;81.0;54.6;103523
Ballerup;38871;37483;25864;79.0;76.2;52.6;49179
Brøndby;25734;24716;16227;72.1;69.2;45.4;35709
Dragør;12253;11735;8511;83.8;80.2;58.2;14628
Gentofte;62043;59798;42280;83.6;80.5;57.0;74238
Gladsaxe;55315;53081;35226;79.9;76.6;50.9;69264
Glostrup;18176;17568;11594;77.5;74.9;49.4;23465
Herlev;22558;21653;14689;78.3;75.1;51.0;28826
Albertslund;20550;19639;12386;74.5;71.2;44.9;27600
Hvidovre;41360;39606;25662;77.7;74.4;48.2;53231
Høje Tåstrup;39479;37969;24668;74.5;71.6;46.5;53027
Lyngby-Taarbæk;48499;46638;32452;84.0;80.7;56.2;57757
Rødovre;31978;30692;20244;77.2;74.1;48.9;41420
Ishøj;16101;15440;9439;69.4;66.5;40.7;23204
Tårnby;34104;32775;22382;79.9;76.8;52.5;42673
Vallensbæk;12509;12025;7930;75.9;73.0;48.1;16480
Furesø;34144;32836;23251;82.5;79.3;56.2;41383
Allerød;21965;21242;15266;85.0;82.2;59.1;25852
Fredensborg;33435;32284;22891;81.2;78.4;55.6;41192
Helsingør;51624;50090;35869;82.1;79.6;57.0;62898
Hillerød;43950;42472;29458;82.5;79.7;55.3;53265
Hørsholm;21094;20491;15185;85.2;82.8;61.3;24759
Rudersdal;48354;46706;33679;84.4;81.6;58.8;57270
Egedal;36827;35571;24489;83.0;80.2;55.2;44355
Frederikssund;38393;37224;26412;83.9;81.3;57.7;45773
Greve;40621;39223;27159;80.0;77.2;53.5;50796
Køge;50285;48469;33305;81.5;78.6;54.0;61696
Halsnæs;25941;25166;18286;82.7;80.2;58.3;31371
Roskilde;74802;72429;50840;83.6;80.9;56.8;89506
Solrød;19445;18762;12915;81.7;78.9;54.3;23791
Gribskov;34072;33084;24343;82.8;80.4;59.2;41148
Odsherred;27552;26897;19369;83.9;81.9;59.0;32849
Holbæk;60426;58558;39713;83.0;80.4;54.5;72828
Faxe;30320;29407;20517;81.6;79.2;55.2;37153
Kalundborg;39612;38506;26376;81.9;79.6;54.5;48374
Ringsted;28099;27152;18418;80.0;77.3;52.4;35142
Slagelse;64734;62614;43305;81.2;78.6;54.4;79675
Stevns;19382;18772;13195;82.5;79.9;56.2;23483
Sorø;25088;24279;16881;83.6;80.9;56.3;30004
Lejre;23688;22923;16496;82.8;80.1;57.7;28610
Lolland;32738;31927;23310;81.6;79.6;58.1;40097
Næstved;69002;66954;46640;82.3;79.9;55.6;83835
Guldborgsund;49609;48408;35282;82.3;80.3;58.5;60289
Vordingborg;37324;36328;25976;82.3;80.1;57.3;45329
Bornholm;33960;33015;25126;85.7;83.3;63.4;39647
Middelfart;33828;32851;24030;85.4;82.9;60.7;39619
Assens;34894;33695;24200;85.2;82.3;59.1;40949
Faaborg-Midtfyn;44091;42574;30467;85.1;82.2;58.8;51819
Kerteminde;20459;19799;14172;85.1;82.4;59.0;24033
Nyborg;27472;26525;18685;85.5;82.6;58.2;32126
Odense;171753;165751;106232;83.4;80.5;51.6;206026
Svendborg;50423;48992;35062;85.2;82.8;59.3;59168
Nordfyn;24897;23962;16752;83.7;80.5;56.3;29748
Langeland;10534;10300;7964;85.8;83.9;64.8;12283
Ærø;5280;5116;4034;87.6;84.9;66.9;6028
Haderslev;45503;44178;30071;82.3;79.9;54.4;55321
Billund;22131;21479;14923;83.0;80.6;56.0;26661
Sønderborg;61472;59442;41979;83.4;80.6;56.9;73714
Tønder;29855;28982;19929;81.0;78.7;54.1;36837
Esbjerg;95490;92658;62180;82.7;80.3;53.9;115458
Fanø;2964;2885;2193;86.5;84.2;64.0;3428
Varde;41097;39874;28123;82.8;80.3;56.6;49659
Vejen;34893;33772;23155;81.9;79.3;54.4;42595
Aabenraa;47132;45853;32041;80.3;78.2;54.6;58660
Fredericia;42934;41747;29459;83.2;80.9;57.1;51617
Horsens;76647;74131;50074;81.1;78.4;53.0;94516
Kolding;76772;74646;49297;82.1;79.8;52.7;93538
Vejle;97612;94853;62834;82.0;79.7;52.8;119086
Herning;74428;72234;48570;83.4;81.0;54.4;89205
Holstebro;49247;47732;32202;84.1;81.6;55.0;58527
Lemvig;16550;16114;11854;85.3;83.0;61.1;19406
Struer;17823;17312;12310;85.7;83.2;59.2;20799
Syddjurs;36808;35508;25856;84.4;81.5;59.3;43587
Norddjurs;31227;30293;21964;84.5;82.0;59.4;36946
Favrskov;41345;39691;27388;84.6;81.2;56.0;48900
Odder;19917;19165;14322;85.5;82.3;61.5;23296
Randers;82386;79672;54302;83.2;80.5;54.9;98979
Silkeborg;80701;78003;53762;82.9;80.1;55.2;97377
Samsø;3241;3105;2510;87.3;83.6;67.6;3712
Skanderborg;53807;51576;36446;83.6;80.2;56.7;64324
Århus;295158;285162;186846;83.1;80.3;52.6;355277
Ikast-Brande;34249;33263;22347;81.7;79.4;53.3;41899
Ringkøbing-Skjern;46806;45360;31781;83.3;80.7;56.5;56205
Hedensted;39476;38257;27113;83.8;81.2;57.6;47088
Morsø;17000;16427;11841;84.8;81.9;59.0;20054
Skive;38765;37634;26729;86.0;83.5;59.3;45067
Thisted;36240;34919;25294;84.1;81.1;58.7;43082
Viborg;81814;79269;54247;84.5;81.9;56.0;96844
Brønderslev;30415;29396;20325;84.0;81.2;56.1;36206
Frederikshavn;50024;48809;35335;85.0;82.9;60.0;58852
Vesthimmerland;29976;28917;20878;82.5;79.6;57.5;36321
Læsø;1529;1497;1270;86.3;84.5;71.7;1771
Rebild;25432;24461;16988;82.9;79.8;55.4;30672
Mariagerfjord;35150;33853;24281;84.4;81.3;58.3;41647
Jammerbugt;32222;31120;22241;84.4;81.5;58.3;38171
Aalborg;185789;179547;117951;84.0;81.2;53.3;221125
Hjørring;54327;52842;36287;85.1;82.8;56.8;63844
