"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;59368;28294;298826;19.9;9.5
0-9;M;63394;30304;315516;20.1;9.6
10-19;K;279937;258253;345660;81.0;74.7
10-19;M;290221;267244;361312;80.3;74.0
20-29;K;319762;311135;381133;83.9;81.6
20-29;M;325969;315761;398060;81.9;79.3
30-39;K;300727;293301;351232;85.6;83.5
30-39;M;298937;291641;363542;82.2;80.2
40-49;K;344486;341054;374839;91.9;91.0
40-49;M;336727;333122;375697;89.6;88.7
50-59;K;378111;376023;401589;94.2;93.6
50-59;M;379173;376952;405001;93.6;93.1
60-69;K;325731;324632;339366;96.0;95.7
60-69;M;316809;315614;329868;96.0;95.7
70-79;K;292503;291849;300473;97.3;97.1
70-79;M;262349;261796;269151;97.5;97.3
80-89;K;127237;126812;131153;97.0;96.7
80-89;M;92135;91872;94532;97.5;97.2
90+;K;24847;24674;26205;94.8;94.2
90+;M;9971;9922;10365;96.2;95.7
