"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;9;2;90654;0.0;0.0
0-2;M;1;0;95601;0.0;0.0
3-5;K;8475;3003;91562;9.3;3.3
3-5;M;9214;3302;96859;9.5;3.4
6-11;K;87763;47966;180171;48.7;26.6
6-11;M;92619;51003;189383;48.9;26.9
12-15;K;119125;113760;145030;82.1;78.4
12-15;M;125131;119479;152720;81.9;78.2
16-19;K;123933;121816;137069;90.4;88.9
16-19;M;126650;123764;142265;89.0;87.0
20-39;K;620489;604436;732365;84.7;82.5
20-39;M;624906;607402;761602;82.1;79.8
40-64;K;890746;884588;952458;93.5;92.9
40-64;M;881971;875444;954470;92.4;91.7
65-79;K;450085;448970;463809;97.0;96.8
65-79;M;413087;412040;425247;97.1;96.9
80+;K;152084;151486;157358;96.6;96.3
80+;M;102106;101794;104897;97.3;97.0
