"Vaccinenavn";"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc."
AstraZeneca Covid-19 vaccine;Nordjylland;17028;97
AstraZeneca Covid-19 vaccine;Midtjylland;34017;220
AstraZeneca Covid-19 vaccine;Syddanmark;30833;472
AstraZeneca Covid-19 vaccine;Hovedstaden;46387;1066
AstraZeneca Covid-19 vaccine;Sjælland;24020;463
Janssen COVID-19 vaccine;Nordjylland;3675;3675
Janssen COVID-19 vaccine;Midtjylland;9894;9894
Janssen COVID-19 vaccine;Syddanmark;7640;7640
Janssen COVID-19 vaccine;Hovedstaden;22799;22799
Janssen COVID-19 vaccine;Sjælland;2865;2865
Moderna Covid-19 Vaccine;Nordjylland;71531;70655
Moderna Covid-19 Vaccine;Midtjylland;127437;125603
Moderna Covid-19 Vaccine;Syddanmark;136311;163053
Moderna Covid-19 Vaccine;Hovedstaden;153331;150711
Moderna Covid-19 Vaccine;Sjælland;85208;105892
Pfizer BioNTech Covid-19 vacc;Nordjylland;405870;407361
Pfizer BioNTech Covid-19 vacc;Midtjylland;949047;947764
Pfizer BioNTech Covid-19 vacc;Syddanmark;846702;818769
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1273165;1268868
Pfizer BioNTech Covid-19 vacc;Sjælland;580634;562388
