"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
Nordjylland;498104;481788;332691;84.2;81.4;56.2;591745
Midtjylland;1120395;1083481;740623;83.5;80.7;55.2;1341954
Syddanmark;1021486;989934;677782;83.2;80.6;55.2;1228373
Hovedstaden;1495682;1443444;955419;80.1;77.3;51.1;1867991
Sjælland;692727;671608;469697;82.1;79.6;55.7;843457
