"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;498104;481788;591745
Midtjylland;1120395;1083481;1341954
Syddanmark;1021486;989934;1228373
Hovedstaden;1495682;1443444;1867991
Sjælland;692727;671608;843457
