"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;8;2;90653;0.0;0.0
0-2;M;1;0;95601;0.0;0.0
3-5;K;7960;2759;91047;8.7;3.0
3-5;M;8693;3059;96338;9.0;3.2
6-11;K;86806;47191;179214;48.4;26.3
6-11;M;91535;50102;188299;48.6;26.6
12-15;K;106662;100929;132567;80.5;76.1
12-15;M;112518;106521;140107;80.3;76.0
16-19;K;120960;118882;134096;90.2;88.7
16-19;M;124781;121978;140396;88.9;86.9
20-39;K;620857;604757;732733;84.7;82.5
20-39;M;626358;608741;763054;82.1;79.8
40-64;K;884390;878202;946102;93.5;92.8
40-64;M;875015;868427;947514;92.3;91.7
65-79;K;456821;455671;470545;97.1;96.8
65-79;M;421180;420113;433340;97.2;96.9
80+;K;168245;167634;173519;97.0;96.6
80+;M;115604;115287;118395;97.6;97.4
