"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,101391,49439,590354
Midtjylland,221327,106350,1333626
Syddanmark,202602,102989,1224237
Hovedstaden,310876,140387,1855997
Sjælland,159476,68790,839747
