"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16866,0
AstraZeneca Covid-19 vaccine,Midtjylland,33616,4
AstraZeneca Covid-19 vaccine,Syddanmark,30418,247
AstraZeneca Covid-19 vaccine,Hovedstaden,45118,13
AstraZeneca Covid-19 vaccine,Sjælland,23866,332
Moderna Covid-19 Vaccine,Nordjylland,4542,4034
Moderna Covid-19 Vaccine,Midtjylland,16695,4853
Moderna Covid-19 Vaccine,Syddanmark,15394,6330
Moderna Covid-19 Vaccine,Hovedstaden,25001,6841
Moderna Covid-19 Vaccine,Sjælland,15053,3860
Pfizer BioNTech Covid-19 vacc,Nordjylland,79983,45405
Pfizer BioNTech Covid-19 vacc,Midtjylland,171016,101493
Pfizer BioNTech Covid-19 vacc,Syddanmark,156790,96412
Pfizer BioNTech Covid-19 vacc,Hovedstaden,240757,133533
Pfizer BioNTech Covid-19 vacc,Sjælland,120557,64598
