"Kommunenavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
København,74882,33568,11.7,5.3,638682
Frederiksberg,17533,7876,17.0,7.6,103238
Ballerup,9196,3919,18.7,8.0,49076
Brøndby,6825,3048,19.3,8.6,35373
Dragør,3162,1367,21.7,9.4,14555
Gentofte,14251,6626,19.2,8.9,74320
Gladsaxe,11628,5623,16.8,8.1,69052
Glostrup,4584,2283,19.5,9.7,23492
Herlev,5368,2604,18.6,9.0,28800
Albertslund,5050,2177,18.6,8.0,27222
Hvidovre,9724,4790,18.3,9.0,53280
Høje Tåstrup,9329,4101,17.9,7.9,52178
Lyngby-Taarbæk,10248,5026,18.0,8.8,56952
Rødovre,7122,3447,17.3,8.4,41200
Ishøj,3890,1601,16.9,6.9,23072
Tårnby,7777,3532,18.2,8.3,42693
Vallensbæk,3382,1460,20.4,8.8,16556
Furesø,8286,3807,20.2,9.3,41008
Allerød,4974,2383,19.2,9.2,25885
Fredensborg,8371,3797,20.4,9.3,41045
Helsingør,13538,5863,21.5,9.3,63075
Hillerød,10062,4981,19.4,9.6,51770
Hørsholm,5990,2789,24.1,11.2,24845
Rudersdal,11715,5697,20.5,10.0,57019
Egedal,7826,3067,17.9,7.0,43756
Frederikssund,9915,4194,21.7,9.2,45636
Greve,8921,3940,17.6,7.8,50584
Køge,10335,4817,16.8,7.8,61549
Halsnæs,6986,3086,22.2,9.8,31453
Roskilde,15921,7342,17.9,8.3,88717
Solrød,3833,1770,16.3,7.5,23477
Gribskov,8916,3977,21.7,9.7,41021
Odsherred,7579,2954,23.0,9.0,32944
Holbæk,13563,5851,18.8,8.1,72045
Faxe,6356,2899,17.3,7.9,36796
Kalundborg,9391,3809,19.4,7.9,48423
Ringsted,5379,2384,15.4,6.8,34982
Slagelse,15670,6178,19.8,7.8,79338
Stevns,4294,2066,18.5,8.9,23240
Sorø,5962,2476,19.9,8.3,29937
Lejre,5279,2397,18.6,8.4,28407
Lolland,8277,3497,20.5,8.7,40385
Næstved,15705,6930,18.8,8.3,83332
Guldborgsund,13351,5636,22.1,9.3,60363
Vordingborg,9660,3844,21.4,8.5,45228
Bornholm,10346,3698,26.0,9.3,39743
Middelfart,7217,3832,18.4,9.8,39301
Assens,6956,3219,17.0,7.9,40877
Faaborg-Midtfyn,9037,4415,17.5,8.5,51668
Kerteminde,4510,2105,18.9,8.8,23851
Nyborg,6008,2762,18.8,8.6,31975
Odense,32638,15559,15.9,7.6,204934
Svendborg,10895,6233,18.5,10.6,58861
Nordfyn,5031,2348,17.0,7.9,29537
Langeland,2463,1442,20.0,11.7,12342
Ærø,1190,762,19.8,12.7,6002
Haderslev,8223,4222,14.8,7.6,55386
Billund,4142,2093,15.6,7.9,26502
Sønderborg,11283,6880,15.3,9.3,73782
Tønder,5478,2943,14.8,7.9,37042
Esbjerg,21188,9913,18.3,8.6,115584
Fanø,790,333,23.0,9.7,3439
Varde,9130,4450,18.4,9.0,49700
Vejen,7116,3786,16.6,8.8,42791
Aabenraa,8058,4278,13.8,7.3,58584
Fredericia,8618,4691,16.8,9.1,51362
Horsens,13907,6663,15.0,7.2,92700
Kolding,13983,7397,15.0,7.9,93111
Vejle,18648,9326,15.9,7.9,117606
Herning,15158,7841,17.0,8.8,89326
Holstebro,10691,4983,18.2,8.5,58667
Lemvig,3767,1851,19.3,9.5,19539
Struer,4033,1974,19.4,9.5,20821
Syddjurs,7977,3901,18.4,9.0,43376
Norddjurs,7368,3863,19.9,10.4,36985
Favrskov,7909,3734,16.3,7.7,48490
Odder,4303,2166,18.7,9.4,23045
Randers,16762,8424,17.0,8.6,98371
Silkeborg,16362,7784,17.0,8.1,96011
Samsø,758,555,20.5,15.0,3697
Skanderborg,10087,4645,15.9,7.3,63524
Århus,51860,23240,14.7,6.6,352356
Ikast-Brande,6628,3218,15.9,7.7,41598
Ringkøbing-Skjern,9747,4701,17.3,8.4,56179
Hedensted,7410,3891,15.8,8.3,46877
Morsø,4051,2252,20.2,11.2,20077
Skive,8680,4353,19.1,9.6,45376
Thisted,7918,3967,18.4,9.2,43129
Viborg,17920,8563,18.5,8.9,96688
Brønderslev,6076,3062,16.8,8.5,36119
Frederikshavn,10959,5434,18.6,9.2,58940
Vesthimmerland,7432,3412,20.4,9.4,36361
Læsø,547,266,30.7,15.0,1779
Rebild,4794,2270,15.7,7.4,30510
Mariagerfjord,7627,3710,18.3,8.9,41587
Jammerbugt,6290,2771,16.5,7.3,38186
Aalborg,34166,16627,15.6,7.6,219579
Hjørring,11531,5668,18.0,8.8,64087
