Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   1.109 (49);   1.143 (51);   2.252
10-19;   3.374 (49);   3.534 (51);   6.908
20-29;   4.843 (51);   4.635 (49);   9.478
30-39;   3.449 (51);   3.309 (49);   6.758
40-49;   3.875 (52);   3.544 (48);   7.419
50-59;   3.724 (51);   3.511 (49);   7.235
60-69;   1.861 (48);   2.056 (52);   3.917
70-79;   1.208 (48);   1.328 (52);   2.536
80-89;     748 (56);     592 (44);   1.340
90+;     284 (71);     114 (29);     398
I alt;  24.475 (51);  23.766 (49);  48.241
