Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.295.007;  68.085;   3.621;     590
Sjælland; 505.082;  17.710;   1.170;     167
Syddanmark; 727.044;  17.022;     751;      73
Midtjylland; 831.025;  25.127;   1.093;     153
Nordjylland; 422.612;   8.445;     407;      69
I alt i Danmark;3.780.770; 136.389;   7.042;   1.052
