"Regionsnavn","Aldersgruppe","sex","Antal første vacc.","Antal faerdigvacc."
Hovedstaden,0-9,K,3,1
Hovedstaden,0-9,M,0,0
Hovedstaden,10-19,K,637,399
Hovedstaden,10-19,M,417,297
Hovedstaden,20-29,K,12792,7874
Hovedstaden,20-29,M,5403,3347
Hovedstaden,30-39,K,13868,9490
Hovedstaden,30-39,M,6970,5041
Hovedstaden,40-49,K,19613,14032
Hovedstaden,40-49,M,8516,6353
Hovedstaden,50-59,K,35258,17337
Hovedstaden,50-59,M,25337,9267
Hovedstaden,60-69,K,81007,25776
Hovedstaden,60-69,M,75319,19903
Hovedstaden,70-79,K,81169,73896
Hovedstaden,70-79,M,68147,62068
Hovedstaden,80-89,K,37350,36404
Hovedstaden,80-89,M,25158,24528
Hovedstaden,90+,K,8892,8616
Hovedstaden,90+,M,3279,3186
Midtjylland,0-9,K,0,0
Midtjylland,0-9,M,1,0
Midtjylland,10-19,K,808,484
Midtjylland,10-19,M,365,264
Midtjylland,20-29,K,10477,5754
Midtjylland,20-29,M,3936,2484
Midtjylland,30-39,K,11340,6726
Midtjylland,30-39,M,4608,2940
Midtjylland,40-49,K,16215,9592
Midtjylland,40-49,M,5910,3799
Midtjylland,50-59,K,20814,12542
Midtjylland,50-59,M,8785,5155
Midtjylland,60-69,K,53284,14889
Midtjylland,60-69,M,47228,10106
Midtjylland,70-79,K,63058,47719
Midtjylland,70-79,M,58492,44870
Midtjylland,80-89,K,28634,27942
Midtjylland,80-89,M,22006,21430
Midtjylland,90+,K,6625,6448
Midtjylland,90+,M,2941,2880
Nordjylland,0-9,K,0,0
Nordjylland,0-9,M,0,0
Nordjylland,10-19,K,308,171
Nordjylland,10-19,M,141,104
Nordjylland,20-29,K,4263,2587
Nordjylland,20-29,M,1687,1241
Nordjylland,30-39,K,4942,3079
Nordjylland,30-39,M,1838,1295
Nordjylland,40-49,K,6975,4405
Nordjylland,40-49,M,2452,1738
Nordjylland,50-59,K,9330,6047
Nordjylland,50-59,M,3290,2414
Nordjylland,60-69,K,22005,5611
Nordjylland,60-69,M,18879,3690
Nordjylland,70-79,K,31105,25702
Nordjylland,70-79,M,29295,24172
Nordjylland,80-89,K,14538,14293
Nordjylland,80-89,M,11288,11109
Nordjylland,90+,K,3337,3280
Nordjylland,90+,M,1564,1530
Sjælland,0-9,K,0,0
Sjælland,0-9,M,1,1
Sjælland,10-19,K,408,242
Sjælland,10-19,M,229,157
Sjælland,20-29,K,4171,2505
Sjælland,20-29,M,1855,1285
Sjælland,30-39,K,6423,4118
Sjælland,30-39,M,2452,1710
Sjælland,40-49,K,10557,7198
Sjælland,40-49,M,3678,2699
Sjælland,50-59,K,14832,9319
Sjælland,50-59,M,7132,4152
Sjælland,60-69,K,40129,9922
Sjælland,60-69,M,37662,7673
Sjælland,70-79,K,47620,38042
Sjælland,70-79,M,43618,35761
Sjælland,80-89,K,20462,19462
Sjælland,80-89,M,15778,15061
Sjælland,90+,K,4324,4204
Sjælland,90+,M,1855,1815
Syddanmark,0-9,K,1,1
Syddanmark,0-9,M,0,0
Syddanmark,10-19,K,635,406
Syddanmark,10-19,M,319,238
Syddanmark,20-29,K,7638,4356
Syddanmark,20-29,M,3131,2125
Syddanmark,30-39,K,9498,6039
Syddanmark,30-39,M,4004,2834
Syddanmark,40-49,K,14408,9319
Syddanmark,40-49,M,5468,4065
Syddanmark,50-59,K,18623,12359
Syddanmark,50-59,M,8399,5966
Syddanmark,60-69,K,51295,12148
Syddanmark,60-69,M,46920,8924
Syddanmark,70-79,K,63864,40109
Syddanmark,70-79,M,58885,38133
Syddanmark,80-89,K,30773,29476
Syddanmark,80-89,M,23377,22408
Syddanmark,90+,K,7085,6867
Syddanmark,90+,M,3044,2980
