"Regionsnavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
Nordjylland,167237,112468,28.3,19.1,590256
Midtjylland,365527,226024,27.4,16.9,1334290
Syddanmark,357367,208753,29.2,17.0,1224473
Hovedstaden,509135,327815,27.4,17.7,1856845
Sjælland,263186,165326,31.3,19.7,840453
