"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,167237,112468,590256
Midtjylland,365527,226024,1334290
Syddanmark,357367,208753,1224473
Hovedstaden,509135,327815,1856845
Sjælland,263186,165326,840453
