Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  14.807 (49);  15.659 (51);  30.466
10-19;  31.315 (49);  32.361 (51);  63.676
20-29;  38.243 (49);  40.015 (51);  78.258
30-39;  25.939 (50);  25.874 (50);  51.813
40-49;  26.735 (53);  24.024 (47);  50.759
50-59;  22.869 (51);  22.257 (49);  45.126
60-69;  11.346 (49);  12.039 (51);  23.385
70-79;   6.741 (49);   6.903 (51);  13.644
80-89;   3.828 (57);   2.847 (43);   6.675
90+;   1.439 (71);     599 (29);   2.038
I alt; 183.262 (50); 182.578 (50); 365.840
