Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     191 (51);     181 (49);     372
10-19;     356 (55);     292 (45);     648
20-29;   1.125 (61);     709 (39);   1.834
30-39;   1.125 (60);     756 (40);   1.881
40-49;   1.330 (60);     902 (40);   2.232
50-59;   1.376 (59);     942 (41);   2.318
60-69;     732 (50);     732 (50);   1.464
70-79;     500 (46);     595 (54);   1.095
80-89;     480 (57);     358 (43);     838
90+;     191 (72);      73 (28);     264
I alt;   7.406 (57);   5.540 (43);  12.946
