"Kommunenavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
København,83324,36767,13.0,5.8,638750
Frederiksberg,19574,8825,19.0,8.5,103227
Ballerup,10500,4621,21.4,9.4,49093
Brøndby,7369,3498,20.8,9.9,35382
Dragør,3535,1541,24.3,10.6,14556
Gentofte,16165,7446,21.8,10.0,74314
Gladsaxe,13193,6179,19.1,9.0,69013
Glostrup,5023,2521,21.4,10.7,23485
Herlev,6135,2875,21.3,10.0,28807
Albertslund,5577,2518,20.5,9.3,27214
Hvidovre,10618,5344,19.9,10.0,53285
Høje Tåstrup,10141,4776,19.4,9.2,52187
Lyngby-Taarbæk,11725,5563,20.6,9.8,57040
Rødovre,7991,3790,19.4,9.2,41174
Ishøj,4156,1796,18.0,7.8,23068
Tårnby,8559,3921,20.0,9.2,42706
Vallensbæk,3579,1656,21.6,10.0,16548
Furesø,9393,4357,22.9,10.6,41029
Allerød,5758,2616,22.2,10.1,25884
Fredensborg,9700,4203,23.7,10.2,41009
Helsingør,15674,6578,24.8,10.4,63079
Hillerød,11658,5433,22.5,10.5,51801
Hørsholm,6845,3098,27.6,12.5,24829
Rudersdal,13297,6350,23.3,11.1,56985
Egedal,8891,3559,20.3,8.1,43789
Frederikssund,11340,4806,24.8,10.5,45643
Greve,10143,4572,20.0,9.0,50600
Køge,11365,5840,18.5,9.5,61548
Halsnæs,8201,3520,26.1,11.2,31460
Roskilde,17399,8679,19.6,9.8,88727
Solrød,4341,2085,18.5,8.9,23489
Gribskov,10748,4412,26.2,10.8,41039
Odsherred,8379,3706,25.5,11.3,32921
Holbæk,14653,7115,20.3,9.9,72078
Faxe,6985,3532,19.0,9.6,36801
Kalundborg,10333,4876,21.3,10.1,48435
Ringsted,5900,2878,16.9,8.2,34973
Slagelse,17036,7994,21.5,10.1,79335
Stevns,4761,2502,20.5,10.8,23245
Sorø,6429,3048,21.5,10.2,29958
Lejre,5864,2801,20.6,9.8,28446
Lolland,9163,4501,22.7,11.1,40379
Næstved,16682,8648,20.0,10.4,83335
Guldborgsund,14098,7091,23.4,11.7,60365
Vordingborg,10259,4927,22.7,10.9,45251
Bornholm,11871,4543,29.9,11.4,39738
Middelfart,8224,4165,20.9,10.6,39313
Assens,7874,3651,19.2,8.9,40904
Faaborg-Midtfyn,10621,4812,20.6,9.3,51680
Kerteminde,5204,2458,21.8,10.3,23841
Nyborg,6750,3142,21.1,9.8,31987
Odense,36250,16993,17.7,8.3,204890
Svendborg,12805,6691,21.8,11.4,58836
Nordfyn,5749,2637,19.5,8.9,29546
Langeland,2985,1540,24.2,12.5,12343
Ærø,1486,772,24.7,12.8,6012
Haderslev,9663,4664,17.4,8.4,55395
Billund,4711,2377,17.8,9.0,26505
Sønderborg,13587,7326,18.4,9.9,73771
Tønder,6542,3213,17.7,8.7,37028
Esbjerg,24391,10709,21.1,9.3,115579
Fanø,915,346,26.6,10.1,3438
Varde,10365,4865,20.9,9.8,49704
Vejen,7947,4061,18.6,9.5,42794
Aabenraa,10204,4645,17.4,7.9,58599
Fredericia,9936,5103,19.3,9.9,51363
Horsens,15742,7480,17.0,8.1,92699
Kolding,15867,7996,17.0,8.6,93100
Vejle,21186,10276,18.0,8.7,117626
Herning,16449,9136,18.4,10.2,89325
Holstebro,11486,5559,19.6,9.5,58649
Lemvig,4567,2502,23.4,12.8,19542
Struer,4723,2388,22.7,11.5,20835
Syddjurs,9301,4171,21.4,9.6,43405
Norddjurs,8182,3960,22.1,10.7,36957
Favrskov,8840,4175,18.2,8.6,48508
Odder,4815,2446,20.9,10.6,23046
Randers,19260,9442,19.6,9.6,98362
Silkeborg,18425,9232,19.2,9.6,96004
Samsø,780,626,21.1,16.9,3703
Skanderborg,11272,5353,17.7,8.4,63538
Århus,55904,26630,15.9,7.6,352273
Ikast-Brande,7599,3756,18.3,9.0,41605
Ringkøbing-Skjern,11023,5932,19.6,10.6,56210
Hedensted,8365,4313,17.8,9.2,46884
Morsø,4818,2633,24.0,13.1,20085
Skive,10353,5452,22.8,12.0,45375
Thisted,8648,4121,20.0,9.6,43140
Viborg,20428,10316,21.1,10.7,96679
Brønderslev,6524,3764,18.1,10.4,36123
Frederikshavn,12491,5983,21.2,10.1,58951
Vesthimmerland,8143,3964,22.4,10.9,36367
Læsø,698,387,39.2,21.7,1780
Rebild,5651,2811,18.5,9.2,30501
Mariagerfjord,8917,4508,21.4,10.8,41572
Jammerbugt,7812,3654,20.5,9.6,38196
Aalborg,38225,20202,17.4,9.2,219507
Hjørring,12541,7088,19.6,11.1,64066
