"Vaccinedato","geo","Antal færdigvacc. personer","Antal borgere","Færdigvacc. (%)","Kumuleret antal færdigvacc."
2021-01-15,Nationalt,5,5844558,0.00,5
2021-01-16,Nationalt,7,5844558,0.00,12
2021-01-17,Nationalt,703,5844558,0.01,715
2021-01-18,Nationalt,2104,5844558,0.05,2819
2021-01-19,Nationalt,2066,5844558,0.08,4885
2021-01-20,Nationalt,1868,5844558,0.12,6753
2021-01-21,Nationalt,2330,5844558,0.16,9083
2021-01-22,Nationalt,5657,5844558,0.25,14740
2021-01-23,Nationalt,7123,5844558,0.37,21863
2021-01-24,Nationalt,6507,5844558,0.49,28370
2021-01-25,Nationalt,2482,5844558,0.53,30852
2021-01-26,Nationalt,1728,5844558,0.56,32580
2021-01-27,Nationalt,4361,5844558,0.63,36941
2021-01-28,Nationalt,8114,5844558,0.77,45055
2021-01-29,Nationalt,18259,5844558,1.08,63314
2021-01-30,Nationalt,12894,5844558,1.30,76208
2021-01-31,Nationalt,12246,5844558,1.51,88454
2021-02-01,Nationalt,7889,5844558,1.65,96343
2021-02-02,Nationalt,3021,5844558,1.70,99364
2021-02-03,Nationalt,6179,5844558,1.81,105543
2021-02-04,Nationalt,10890,5844558,1.99,116433
2021-02-05,Nationalt,13422,5844558,2.22,129855
2021-02-06,Nationalt,6770,5844558,2.34,136625
2021-02-07,Nationalt,3637,5844558,2.40,140262
2021-02-08,Nationalt,7042,5844558,2.52,147304
2021-02-09,Nationalt,4897,5844558,2.60,152201
2021-02-10,Nationalt,3912,5844558,2.67,156113
2021-02-11,Nationalt,2458,5844558,2.71,158571
2021-02-12,Nationalt,7629,5844558,2.84,166200
2021-02-13,Nationalt,971,5844558,2.86,167171
2021-02-14,Nationalt,628,5844558,2.87,167799
2021-02-15,Nationalt,3141,5844558,2.92,170940
2021-02-16,Nationalt,1340,5844558,2.95,172280
2021-02-17,Nationalt,431,5844558,2.96,172711
2021-02-18,Nationalt,310,5844558,2.96,173021
2021-02-19,Nationalt,974,5844558,2.98,173995
2021-02-20,Nationalt,582,5844558,2.99,174577
2021-02-21,Nationalt,356,5844558,2.99,174933
2021-02-22,Nationalt,1103,5844558,3.01,176036
2021-02-23,Nationalt,1950,5844558,3.05,177986
2021-02-24,Nationalt,1963,5844558,3.08,179949
2021-02-25,Nationalt,642,5844558,3.09,180591
2021-02-26,Nationalt,1003,5844558,3.11,181594
2021-02-27,Nationalt,1479,5844558,3.13,183073
2021-02-28,Nationalt,1427,5844558,3.16,184500
2021-03-01,Nationalt,1062,5844558,3.17,185562
2021-03-02,Nationalt,1305,5844558,3.20,186867
2021-03-03,Nationalt,1033,5844558,3.21,187900
2021-03-04,Nationalt,1816,5844558,3.25,189716
2021-03-05,Nationalt,5697,5844558,3.34,195413
2021-03-06,Nationalt,4011,5844558,3.41,199424
2021-03-07,Nationalt,4354,5844558,3.49,203778
2021-03-08,Nationalt,6488,5844558,3.60,210266
2021-03-09,Nationalt,7274,5844558,3.72,217540
2021-03-10,Nationalt,7304,5844558,3.85,224844
2021-03-11,Nationalt,8072,5844558,3.99,232916
2021-03-12,Nationalt,10682,5844558,4.17,243598
2021-03-13,Nationalt,5976,5844558,4.27,249574
2021-03-14,Nationalt,9433,5844558,4.43,259007
2021-03-15,Nationalt,9963,5844558,4.60,268970
2021-03-16,Nationalt,9520,5844558,4.76,278490
2021-03-17,Nationalt,9259,5844558,4.92,287749
2021-03-18,Nationalt,7250,5844558,5.05,294999
2021-03-19,Nationalt,11829,5844558,5.25,306828
2021-03-20,Nationalt,4875,5844558,5.33,311703
2021-03-21,Nationalt,4697,5844558,5.41,316400
2021-03-22,Nationalt,7845,5844558,5.55,324245
2021-03-23,Nationalt,7644,5844558,5.68,331889
2021-03-24,Nationalt,13552,5844558,5.91,345441
2021-03-25,Nationalt,8499,5844558,6.06,353940
2021-03-26,Nationalt,7927,5844558,6.19,361867
2021-03-27,Nationalt,3139,5844558,6.25,365006
2021-03-28,Nationalt,2822,5844558,6.29,367828
2021-03-29,Nationalt,6248,5844558,6.40,374076
2021-03-30,Nationalt,6113,5844558,6.51,380189
2021-03-31,Nationalt,9893,5844558,6.67,390082
2021-04-01,Nationalt,6990,5844558,6.79,397072
2021-04-02,Nationalt,7053,5844558,6.91,404125
2021-04-03,Nationalt,2190,5844558,6.95,406315
2021-04-04,Nationalt,1790,5844558,6.98,408105
2021-04-05,Nationalt,1304,5844558,7.00,409409
2021-04-06,Nationalt,6163,5844558,7.11,415572
2021-04-07,Nationalt,8331,5844558,7.25,423903
2021-04-08,Nationalt,8628,5844558,7.40,432531
2021-04-09,Nationalt,8739,5844558,7.55,441270
2021-04-10,Nationalt,5456,5844558,7.64,446726
2021-04-11,Nationalt,3901,5844558,7.71,450627
2021-04-12,Nationalt,11549,5844558,7.91,462176
2021-04-13,Nationalt,6287,5844558,8.02,468463
2021-04-14,Nationalt,11208,5844558,8.21,479671
2021-04-15,Nationalt,9121,5844558,8.36,488792
2021-04-16,Nationalt,8176,5844558,8.50,496968
2021-04-17,Nationalt,2740,5844558,8.55,499708
2021-04-18,Nationalt,5160,5844558,8.64,504868
2021-04-19,Nationalt,14446,5844558,8.89,519314
2021-04-20,Nationalt,17020,5844558,9.18,536334
