"Regionsnavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
Nordjylland,114468,59115,19.4,10.0,590288
Midtjylland,247514,122869,18.6,9.2,1333599
Syddanmark,233262,112442,19.1,9.2,1224254
Hovedstaden,350540,157112,18.9,8.5,1856134
Sjælland,173790,84795,20.7,10.1,839886
NA,1,1,0.3,0.3,397
