"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,114468,59115,590288
Midtjylland,247514,122869,1333599
Syddanmark,233262,112442,1224254
Hovedstaden,350540,157112,1856134
Sjælland,173790,84795,839886
NA,1,1,397
