Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     854 (50);     866 (50);   1.720
10-19;   2.485 (49);   2.573 (51);   5.058
20-29;   3.877 (52);   3.639 (48);   7.516
30-39;   2.775 (51);   2.626 (49);   5.401
40-49;   3.170 (53);   2.787 (47);   5.957
50-59;   3.090 (52);   2.856 (48);   5.946
60-69;   1.560 (48);   1.717 (52);   3.277
70-79;   1.043 (48);   1.116 (52);   2.159
80-89;     690 (56);     537 (44);   1.227
90+;     255 (71);     106 (29);     361
I alt;  19.799 (51);  18.823 (49);  38.622
