"Regionsnavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
Nordjylland,55439,20017,9.4,3.4,590405
Midtjylland,115003,44572,8.6,3.3,1332788
Syddanmark,111029,41172,9.1,3.4,1223718
Hovedstaden,156003,60905,8.4,3.3,1855623
Sjælland,75257,28527,9.0,3.4,839111
