"Kommunenavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
København,41736,17186,638641
Frederiksberg,8636,3536,103398
Ballerup,4279,1400,49116
Brøndby,3196,1045,35363
Dragør,1307,457,14563
Gentofte,6774,2837,74378
Gladsaxe,6406,2544,69199
Glostrup,2492,1129,23444
Herlev,2888,1149,28821
Albertslund,2375,1024,27243
Hvidovre,5266,2141,53340
Høje-Taastrup,4455,1955,52119
Lyngby-Taarbæk,5431,1965,56832
Rødovre,3732,1211,41177
Ishøj,1720,676,23054
Tårnby,3884,1406,42728
Vallensbæk,1563,569,16541
Furesø,4040,1494,40950
Allerød,2513,840,25863
Fredensborg,3862,1580,40942
Helsingør,6366,2348,63045
Hillerød,5515,2277,51710
Hørsholm,2646,999,24847
Rudersdal,5643,2011,56956
Egedal,3521,1207,43707
Frederikssund,4474,1606,45541
Greve,4071,1519,50571
Køge,5079,1994,61533
Frederiksværk-Hundested,3116,1118,31407
Roskilde,8074,3306,88782
Solrød,1858,736,23454
Gribskov,4118,1603,40981
Odsherred,3212,1079,32898
Holbæk,6631,2527,71979
Faxe,3039,1110,36750
Kalundborg,4024,1439,48408
Ringsted,2713,1051,34896
Slagelse,7446,2849,79220
Stevns,1980,654,23155
Sorø,2780,1009,29972
Lejre,2488,938,28275
Lolland,3722,1489,40440
Næstved,7772,3151,83277
Guldborgsund,6319,2261,60300
Vordingborg,4049,1415,45201
Bornholm,4049,1592,39717
Middelfart,4090,1546,39237
Assens,3514,1168,40853
Faaborg-Midtfyn,4736,1611,51632
Kerteminde,2164,756,23834
Nyborg,2972,926,31946
Odense,17774,6620,205141
Svendborg,6650,3099,58718
Nordfyns,2557,819,29529
Langeland,1381,554,12358
Ærø,737,306,5982
Haderslev,4569,1826,55328
Billund,2204,764,26521
Sønderborg,6501,2448,73792
Tønder,3126,1249,37022
Esbjerg,11834,3875,115554
Fanø,371,124,3446
Varde,4888,1468,49642
Vejen,4086,1332,42751
Aabenraa,4444,1713,58549
Fredericia,4816,1914,51368
Horsens,7536,2820,92538
Kolding,7759,2987,93103
Vejle,9856,4067,117412
Herning,7818,3345,89276
Holstebro,5422,2067,58701
Lemvig,1777,906,19579
Struer,1997,790,20810
Syddjurs,3911,1455,43245
Norddjurs,3595,1504,36971
Favrskov,4053,1490,48429
Odder,2287,900,22990
Randers,9112,3521,98315
Silkeborg,8143,3287,95861
Samsø,489,446,3680
Skanderborg,4888,1809,63437
Århus,28530,9672,352425
Ikast-Brande,3073,1295,41529
Ringkøbing-Skjern,4853,2071,56135
Hedensted,3837,1528,46820
Morsø,2305,1042,20061
Skive,4301,1870,45417
Thisted,3819,1403,43102
Viborg,9381,3796,96630
Brønderslev-Dronninglund,3461,1264,36123
Frederikshavn,5360,2017,58978
Vesthimmerlands,3684,1195,36344
Læsø,286,118,1772
Rebild,2641,1040,30487
Mariagerfjord,3920,1210,41580
Jammerbugt,3393,1127,38127
Ålborg,19732,7370,219729
Hjørring,6838,2231,64102
