"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;7;2;90783;0.0;0.0
0-2;M;1;0;95699;0.0;0.0
3-5;K;8248;4205;91089;9.1;4.6
3-5;M;8993;4687;96384;9.3;4.9
6-11;K;89128;60576;179060;49.8;33.8
6-11;M;94114;64052;188192;50.0;34.0
12-15;K;107003;102230;132602;80.7;77.1
12-15;M;112895;107904;140160;80.5;77.0
16-19;K;121180;119338;134117;90.4;89.0
16-19;M;124978;122462;140364;89.0;87.2
20-39;K;622423;608234;732846;84.9;83.0
20-39;M;627890;611934;763349;82.3;80.2
40-64;K;884718;879097;946073;93.5;92.9
40-64;M;875395;869441;947508;92.4;91.8
65-79;K;457065;456054;470691;97.1;96.9
65-79;M;421319;420358;433351;97.2;97.0
80+;K;168225;167686;173445;97.0;96.7
80+;M;115645;115368;118396;97.7;97.4
