"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;8;2;90784;0.0;0.0
0-2;M;1;0;95699;0.0;0.0
3-5;K;8960;4667;91801;9.8;5.1
3-5;M;9733;5152;97124;10.0;5.3
6-11;K;90367;61650;180299;50.1;34.2
6-11;M;95466;65302;189544;50.4;34.5
12-15;K;119606;115155;145205;82.4;79.3
12-15;M;125647;120916;152912;82.2;79.1
16-19;K;124144;122275;137081;90.6;89.2
16-19;M;126884;124286;142270;89.2;87.4
20-39;K;622128;607978;732551;84.9;83.0
20-39;M;626370;610526;761829;82.2;80.1
40-64;K;891120;885534;952475;93.6;93.0
40-64;M;882395;876502;954508;92.4;91.8
65-79;K;449974;448999;463600;97.1;96.9
65-79;M;412925;411985;424957;97.2;96.9
80+;K;151690;151162;156910;96.7;96.3
80+;M;101809;101537;104560;97.4;97.1
