"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
København;507187;492484;326981;78.6;76.3;50.7;645122
Frederiksberg;86706;84554;60809;83.7;81.6;58.7;103563
Ballerup;38973;37829;27467;79.2;76.9;55.8;49200
Brøndby;25836;24930;17256;72.2;69.7;48.2;35772
Dragør;12269;11859;8851;83.9;81.1;60.5;14625
Gentofte;62173;60354;44309;83.7;81.3;59.7;74250
Gladsaxe;55448;53599;37532;80.1;77.4;54.2;69244
Glostrup;18246;17682;12373;77.8;75.4;52.7;23466
Herlev;22622;21848;15552;78.5;75.9;54.0;28804
Albertslund;20599;19825;13258;74.6;71.8;48.0;27621
Hvidovre;41446;39979;27532;77.9;75.1;51.7;53216
Høje Tåstrup;39609;38270;26385;74.7;72.2;49.8;53035
Lyngby-Taarbæk;48642;47107;34292;84.2;81.5;59.4;57777
Rødovre;32116;30993;21630;77.5;74.7;52.2;41463
Ishøj;16127;15549;10076;69.5;67.0;43.4;23201
Tårnby;34168;33051;23692;80.1;77.5;55.5;42651
Vallensbæk;12548;12136;8385;76.1;73.6;50.8;16496
Furesø;34223;33189;24425;82.7;80.2;59.0;41384
Allerød;21986;21417;16050;85.1;82.9;62.1;25835
Fredensborg;33512;32582;24147;81.4;79.1;58.6;41190
Helsingør;51698;50428;37874;82.3;80.2;60.3;62843
Hillerød;44076;42931;31403;82.7;80.5;58.9;53322
Hørsholm;21116;20611;15771;85.4;83.3;63.8;24734
Rudersdal;48452;47131;35244;84.6;82.3;61.6;57250
Egedal;36905;35873;25861;83.1;80.8;58.3;44387
Frederikssund;38490;37540;27853;84.0;82.0;60.8;45800
Greve;40707;39574;28652;80.1;77.9;56.4;50814
Køge;50367;48843;35691;81.7;79.2;57.9;61641
Halsnæs;25983;25298;19228;82.9;80.7;61.3;31352
Roskilde;74968;73111;53882;83.8;81.7;60.2;89474
Solrød;19486;18955;13633;81.8;79.6;57.2;23814
Gribskov;34149;33350;25622;83.0;81.0;62.2;41164
Odsherred;27619;27096;20819;84.1;82.5;63.4;32830
Holbæk;60608;59188;43402;83.2;81.2;59.6;72858
