"Kommunenavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
København;507187;492484;645122
Frederiksberg;86706;84554;103563
Ballerup;38973;37829;49200
Brøndby;25836;24930;35772
Dragør;12269;11859;14625
Gentofte;62173;60354;74250
Gladsaxe;55448;53599;69244
Glostrup;18246;17682;23466
Herlev;22622;21848;28804
Albertslund;20599;19825;27621
Hvidovre;41446;39979;53216
Høje-Taastrup;39609;38270;53035
Lyngby-Taarbæk;48642;47107;57777
Rødovre;32116;30993;41463
Ishøj;16127;15549;23201
Tårnby;34168;33051;42651
Vallensbæk;12548;12136;16496
Furesø;34223;33189;41384
Allerød;21986;21417;25835
Fredensborg;33512;32582;41190
Helsingør;51698;50428;62843
Hillerød;44076;42931;53322
Hørsholm;21116;20611;24734
Rudersdal;48452;47131;57250
Egedal;36905;35873;44387
Frederikssund;38490;37540;45800
Greve;40707;39574;50814
Køge;50367;48843;61641
Frederiksværk-Hundested;25983;25298;31352
Roskilde;74968;73111;89474
Solrød;19486;18955;23814
Gribskov;34149;33350;41164
Odsherred;27619;27096;32830
Holbæk;60608;59188;72858
Faxe;30396;29635;37168
Kalundborg;39740;38890;48361
Ringsted;28157;27422;35139
Slagelse;64913;63246;79674
Stevns;19440;18948;23506
Sorø;25174;24626;30011
Lejre;23716;23174;28576
Lolland;32813;32114;40089
Næstved;69201;67602;83856
Guldborgsund;49693;48694;60276
Vordingborg;37434;36612;45322
Bornholm;34025;33239;39642
Middelfart;33900;33124;39628
Assens;34964;34032;40936
Faaborg-Midtfyn;44194;43033;51830
Kerteminde;20503;19970;24009
Nyborg;27538;26821;32126
Odense;172153;167478;205998
Svendborg;50551;49420;59196
Nordfyns;24955;24270;29726
Langeland;10557;10359;12306
Ærø;5278;5156;6025
Haderslev;45588;44526;55311
Billund;22176;21695;26664
Sønderborg;61626;60136;73732
Tønder;29917;29178;36813
Esbjerg;95698;93475;115491
Fanø;2963;2907;3420
Varde;41175;40184;49662
Vejen;34954;34049;42581
Aabenraa;47240;46189;58655
Fredericia;42989;41977;51581
Horsens;76893;74888;94561
Kolding;76920;75162;93538
Vejle;97847;95618;119142
Herning;74584;72879;89250
Holstebro;49374;48203;58525
Lemvig;16561;16222;19401
Struer;17847;17474;20795
Syddjurs;36896;35976;43613
Norddjurs;31269;30563;36921
Favrskov;41382;40243;48876
Odder;19946;19393;23304
Randers;82575;80593;99000
Silkeborg;80882;78828;97436
Samsø;3246;3201;3708
Skanderborg;53927;52287;64371
Århus;295798;288215;355329
Ikast-Brande;34306;33533;41867
Ringkøbing-Skjern;46873;45755;56191
Hedensted;39549;38723;47093
Morsø;17041;16590;20052
Skive;38817;37961;45072
Thisted;36308;35418;43091
Viborg;81958;79980;96846
Brønderslev-Dronninglund;30462;29658;36207
Frederikshavn;50126;49071;58874
Vesthimmerlands;30056;29298;36330
Læsø;1531;1503;1774
Rebild;25483;24816;30664
Mariagerfjord;35201;34253;41629
Jammerbugt;32285;31433;38173
Ålborg;186163;181331;221128
Hjørring;54440;53213;63840
