"Vaccinenavn";"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc."
AstraZeneca Covid-19 vaccine;Nordjylland;17033;101
AstraZeneca Covid-19 vaccine;Midtjylland;34039;241
AstraZeneca Covid-19 vaccine;Syddanmark;30849;485
AstraZeneca Covid-19 vaccine;Hovedstaden;46466;1131
AstraZeneca Covid-19 vaccine;Sjælland;24017;468
Janssen COVID-19 vaccine;Nordjylland;3682;3682
Janssen COVID-19 vaccine;Midtjylland;9914;9914
Janssen COVID-19 vaccine;Syddanmark;7656;7656
Janssen COVID-19 vaccine;Hovedstaden;22830;22830
Janssen COVID-19 vaccine;Sjælland;2867;2867
Moderna Covid-19 Vaccine;Nordjylland;71570;70772
Moderna Covid-19 Vaccine;Midtjylland;127609;126061
Moderna Covid-19 Vaccine;Syddanmark;136405;163427
Moderna Covid-19 Vaccine;Hovedstaden;153465;151269
Moderna Covid-19 Vaccine;Sjælland;85266;106105
Pfizer BioNTech Covid-19 vacc;Nordjylland;406811;412029
Pfizer BioNTech Covid-19 vacc;Midtjylland;951121;958701
Pfizer BioNTech Covid-19 vacc;Syddanmark;848776;827191
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1276569;1280408
Pfizer BioNTech Covid-19 vacc;Sjælland;582282;568290
