"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;61560;38750;299260;20.6;12.9
0-9;M;65734;41441;315987;20.8;13.1
10-19;K;281525;264999;345910;81.4;76.6
10-19;M;291997;274215;361562;80.8;75.8
20-29;K;320709;313049;381165;84.1;82.1
20-29;M;326841;317571;398129;82.1;79.8
30-39;K;301419;294929;351386;85.8;83.9
30-39;M;299529;292955;363700;82.4;80.5
40-49;K;344716;341623;374881;92.0;91.1
40-49;M;336996;333725;375769;89.7;88.8
50-59;K;378225;376316;401583;94.2;93.7
50-59;M;379312;377323;405015;93.7;93.2
60-69;K;325751;324768;339311;96.0;95.7
60-69;M;316818;315755;329764;96.1;95.8
70-79;K;292402;291826;300300;97.4;97.2
70-79;M;262194;261684;268917;97.5;97.3
80-89;K;127011;126642;130893;97.0;96.8
80-89;M;91902;91677;94265;97.5;97.3
90+;K;24679;24520;26017;94.9;94.2
90+;M;9907;9860;10295;96.2;95.8
