"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;60140;37641;297840;20.2;12.6
0-9;M;64212;40276;314465;20.4;12.8
10-19;K;265426;248710;329811;80.5;75.4
10-19;M;276769;258829;346334;79.9;74.7
20-29;K;322034;314422;382490;84.2;82.2
20-29;M;327655;318384;398943;82.1;79.8
30-39;K;300389;293812;350356;85.7;83.9
30-39;M;300235;293550;364406;82.4;80.6
40-49;K;337514;334413;367679;91.8;91.0
40-49;M;329246;325950;368019;89.5;88.6
50-59;K;377790;375858;401148;94.2;93.7
50-59;M;379308;377291;405011;93.7;93.2
60-69;K;328819;327819;342379;96.0;95.7
60-69;M;319130;318045;332076;96.1;95.8
70-79;K;297660;297061;305558;97.4;97.2
70-79;M;269030;268513;275753;97.6;97.4
80-89;K;137623;137252;141505;97.3;97.0
80-89;M;102594;102369;104957;97.7;97.5
90+;K;30602;30434;31940;95.8;95.3
90+;M;13051;12999;13439;97.1;96.7
