Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     176 (52);     165 (48);     341
10-19;     337 (54);     283 (46);     620
20-29;   1.091 (62);     680 (38);   1.771
30-39;   1.099 (60);     718 (40);   1.817
40-49;   1.309 (60);     873 (40);   2.182
50-59;   1.352 (60);     911 (40);   2.263
60-69;     713 (50);     717 (50);   1.430
70-79;     483 (46);     573 (54);   1.056
80-89;     472 (57);     351 (43);     823
90+;     186 (72);      72 (28);     258
I alt;   7.218 (57);   5.343 (43);  12.561
