"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
Nordjylland;499751;490634;376728;84.5;82.9;63.7;591724
Midtjylland;1124091;1104216;841859;83.7;82.2;62.7;1342897
Syddanmark;1024793;1007268;769421;83.4;82.0;62.6;1228660
Hovedstaden;1501524;1468387;1089267;80.3;78.6;58.3;1869196
Sjælland;695505;683130;525711;82.4;81.0;62.3;843672
