"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;62865;47679;300369;20.9;15.9
0-9;M;67046;50858;317180;21.1;16.0
10-19;K;282743;271773;346588;81.6;78.4
10-19;M;293261;281054;362201;81.0;77.6
20-29;K;321768;315390;381463;84.4;82.7
20-29;M;327823;319869;398342;82.3;80.3
30-39;K;302156;296671;351726;85.9;84.3
30-39;M;300085;294418;364039;82.4;80.9
40-49;K;344968;342302;374980;92.0;91.3
40-49;M;337216;334410;375963;89.7;88.9
50-59;K;378324;376675;401608;94.2;93.8
50-59;M;379396;377739;405029;93.7;93.3
60-69;K;325697;324846;339207;96.0;95.8
60-69;M;316690;315819;329556;96.1;95.8
70-79;K;292061;291589;299895;97.4;97.2
70-79;M;261723;261335;268365;97.5;97.4
80-89;K;126470;126174;130280;97.1;96.8
80-89;M;91353;91181;93665;97.5;97.3
90+;K;24306;24175;25604;94.9;94.4
90+;M;9713;9678;10089;96.3;95.9
