"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;60449;45640;297953;20.3;15.3
0-9;M;64477;48689;314611;20.5;15.5
10-19;K;265852;254632;329697;80.6;77.2
10-19;M;277310;264923;346250;80.1;76.5
20-29;K;322927;316613;382622;84.4;82.7
20-29;M;328406;320457;398925;82.3;80.3
30-39;K;301297;295716;350867;85.9;84.3
30-39;M;301098;295319;365052;82.5;80.9
40-49;K;337354;334675;367366;91.8;91.1
40-49;M;328906;326063;367653;89.5;88.7
50-59;K;377955;376277;401239;94.2;93.8
50-59;M;379465;377765;405098;93.7;93.3
60-69;K;329051;328186;342561;96.1;95.8
60-69;M;319530;318642;332396;96.1;95.9
70-79;K;297955;297456;305789;97.4;97.3
70-79;M;269185;268787;275827;97.6;97.4
80-89;K;137902;137603;141712;97.3;97.1
80-89;M;102897;102725;105209;97.8;97.6
90+;K;30616;30476;31914;95.9;95.5
90+;M;13032;12991;13408;97.2;96.9
