"Regionsnavn";"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc."
Hovedstaden;00-02;K;3;0
Hovedstaden;00-02;M;0;0
Hovedstaden;03-05;K;2783;1798
Hovedstaden;03-05;M;3006;1937
Hovedstaden;06-11;K;26387;20017
Hovedstaden;06-11;M;27671;20952
Hovedstaden;12-15;K;34306;33179
Hovedstaden;12-15;M;36262;35005
Hovedstaden;16-19;K;36013;35387
Hovedstaden;16-19;M;36221;35414
Hovedstaden;20-39;K;233642;229069
Hovedstaden;20-39;M;224312;219297
Hovedstaden;40-64;K;272555;270660
Hovedstaden;40-64;M;267876;265963
Hovedstaden;65-79;K;124592;124288
Hovedstaden;65-79;M;106690;106436
Hovedstaden;80+;K;43173;43020
Hovedstaden;80+;M;26032;25965
Midtjylland;00-02;K;3;1
Midtjylland;00-02;M;1;0
Midtjylland;03-05;K;2371;1641
Midtjylland;03-05;M;2620;1798
Midtjylland;06-11;K;23717;19406
Midtjylland;06-11;M;25034;20454
Midtjylland;12-15;K;29431;28770
Midtjylland;12-15;M;30605;29866
Midtjylland;16-19;K;30444;30143
Midtjylland;16-19;M;30806;30406
Midtjylland;20-39;K;148294;145866
Midtjylland;20-39;M;150875;148049
Midtjylland;40-64;K;200520;199706
Midtjylland;40-64;M;199562;198683
Midtjylland;65-79;K;100044;99913
Midtjylland;65-79;M;94224;94095
Midtjylland;80+;K;32670;32588
Midtjylland;80+;M;22870;22831
Nordjylland;00-02;K;0;0
Nordjylland;00-02;M;0;0
Nordjylland;03-05;K;950;654
Nordjylland;03-05;M;1025;702
Nordjylland;06-11;K;9607;7761
Nordjylland;06-11;M;10003;8010
Nordjylland;12-15;K;12261;11921
Nordjylland;12-15;M;13064;12706
Nordjylland;16-19;K;12659;12542
Nordjylland;16-19;M;13138;12920
Nordjylland;20-39;K;59516;58415
Nordjylland;20-39;M;64232;62801
Nordjylland;40-64;K;89400;88987
Nordjylland;40-64;M;89732;89278
Nordjylland;65-79;K;49004;48916
Nordjylland;65-79;M;46847;46769
Nordjylland;80+;K;16563;16530
Nordjylland;80+;M;11750;11722
Sjælland;00-02;K;0;0
Sjælland;00-02;M;0;0
Sjælland;03-05;K;1204;828
Sjælland;03-05;M;1339;904
Sjælland;06-11;K;12157;9722
Sjælland;06-11;M;12966;10413
Sjælland;12-15;K;17808;17386
Sjælland;12-15;M;18738;18279
Sjælland;16-19;K;17872;17646
Sjælland;16-19;M;19155;18811
Sjælland;20-39;K;67711;66155
Sjælland;20-39;M;69288;67593
Sjælland;40-64;K;137903;137130
Sjælland;40-64;M;135416;134687
Sjælland;65-79;K;74991;74848
Sjælland;65-79;M;69507;69383
Sjælland;80+;K;23232;23157
Sjælland;80+;M;16218;16188
Syddanmark;00-02;K;2;1
Syddanmark;00-02;M;0;0
Syddanmark;03-05;K;1931;1400
Syddanmark;03-05;M;2079;1516
Syddanmark;06-11;K;20099;16610
Syddanmark;06-11;M;21364;17793
Syddanmark;12-15;K;26199;25534
Syddanmark;12-15;M;27374;26649
Syddanmark;16-19;K;27401;27105
Syddanmark;16-19;M;27836;27377
Syddanmark;20-39;K;114761;112556
Syddanmark;20-39;M;119201;116547
Syddanmark;40-64;K;191091;190169
Syddanmark;40-64;M;190093;189085
Syddanmark;65-79;K;100950;100795
Syddanmark;65-79;M;95078;94924
Syddanmark;80+;K;35138;35054
Syddanmark;80+;M;24196;24153
