"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;499751;490634;591724
Midtjylland;1124091;1104216;1342897
Syddanmark;1024793;1007268;1228660
Hovedstaden;1501524;1468387;1869196
Sjælland;695505;683130;843672
