"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
00-02;K;8;2;90793;0.0;0.0
00-02;M;1;0;95833;0.0;0.0
03-05;K;9239;6321;92424;10.0;6.8
03-05;M;10069;6857;97724;10.3;7.0
06-11;K;91967;73516;180851;50.9;40.7
06-11;M;97038;77622;190087;51.0;40.8
12-15;K;120005;116790;145634;82.4;80.2
12-15;M;126043;122505;153389;82.2;79.9
16-19;K;124389;122823;137255;90.6;89.5
16-19;M;127156;124928;142348;89.3;87.8
20-39;K;623924;612061;733189;85.1;83.5
20-39;M;627908;614287;762381;82.4;80.6
40-64;K;891469;886652;952571;93.6;93.1
40-64;M;882679;877696;954647;92.5;91.9
65-79;K;449581;448760;463119;97.1;96.9
65-79;M;412346;411607;424266;97.2;97.0
80+;K;150776;150349;155884;96.7;96.4
80+;M;101066;100859;103754;97.4;97.2
