"Kommunenavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
København;508351;496819;645426
Frederiksberg;86735;85065;103591
Ballerup;39032;38144;49267
Brøndby;25885;25122;35798
Dragør;12261;11972;14596
Gentofte;62249;60991;74245
Gladsaxe;55560;54245;69288
Glostrup;18259;17821;23469
Herlev;22647;22047;28809
Albertslund;20640;19983;27601
Hvidovre;41514;40367;53197
Høje-Taastrup;39723;38682;53165
Lyngby-Taarbæk;48628;47534;57820
Rødovre;32129;31275;41434
Ishøj;16178;15678;23251
Tårnby;34254;33475;42721
Vallensbæk;12564;12228;16520
Furesø;34235;33498;41394
Allerød;22012;21620;25855
Fredensborg;33559;32900;41227
Helsingør;51698;50724;62833
Hillerød;44097;43274;53327
Hørsholm;21110;20748;24714
Rudersdal;48469;47516;57250
Egedal;36971;36293;44438
Frederikssund;38528;37817;45802
Greve;40784;39941;50859
Køge;50467;49412;61662
Frederiksværk-Hundested;25995;25485;31335
Roskilde;75120;73768;89554
Solrød;19500;19123;23818
Gribskov;34177;33575;41169
Odsherred;27650;27248;32822
Holbæk;60727;59653;72913
Faxe;30430;29854;37131
Kalundborg;39816;39136;48371
Ringsted;28225;27709;35182
Slagelse;65049;63783;79725
Stevns;19492;19116;23510
Sorø;25173;24790;29977
Lejre;23719;23325;28557
Lolland;32846;32323;40069
Næstved;69322;68166;83946
Guldborgsund;49749;49001;60299
Vordingborg;37436;36782;45277
Bornholm;34064;33489;39654
Middelfart;33914;33389;39622
Assens;35001;34408;40947
Faaborg-Midtfyn;44278;43505;51882
Kerteminde;20520;20164;24003
Nyborg;27540;27087;32100
Odense;172306;169075;206049
Svendborg;50601;49799;59214
Nordfyns;24993;24528;29731
Langeland;10582;10444;12325
Ærø;5276;5185;6020
Haderslev;45635;44847;55282
Billund;22204;21847;26680
Sønderborg;61671;60642;73721
Tønder;29966;29456;36821
Esbjerg;95804;94213;115507
Fanø;2960;2926;3416
Varde;41202;40472;49657
Vejen;34978;34334;42586
Aabenraa;47275;46556;58679
Fredericia;43095;42347;51613
Horsens;77114;75794;94703
Kolding;77019;75750;93589
Vejle;97973;96294;119216
Herning;74692;73425;89298
Holstebro;49461;48581;58553
Lemvig;16563;16349;19379
Struer;17860;17567;20785
Syddjurs;36966;36359;43676
Norddjurs;31276;30775;36882
Favrskov;41416;40651;48897
Odder;19984;19667;23346
Randers;82637;81198;99086
Silkeborg;81066;79604;97624
Samsø;3250;3217;3711
Skanderborg;53953;52877;64393
Århus;296043;290246;355465
Ikast-Brande;34372;33811;41899
Ringkøbing-Skjern;46924;46157;56183
Hedensted;39610;39055;47129
Morsø;17065;16749;20079
Skive;38830;38235;45067
Thisted;36350;35706;43067
Viborg;82074;80648;96821
Brønderslev-Dronninglund;30521;29955;36225
Frederikshavn;50189;49410;58837
Vesthimmerlands;30066;29535;36276
Læsø;1533;1517;1777
Rebild;25489;24994;30680
Mariagerfjord;35238;34532;41624
Jammerbugt;32342;31708;38168
Ålborg;186448;182907;221160
Hjørring;54510;53621;63831
