"Regionsnavn";"Aldersgruppe";"sex";"Antal første vacc.";"Antal færdigvacc."
Hovedstaden;0-9;K;18369;13211
Hovedstaden;0-9;M;19468;14035
Hovedstaden;10-19;K;81123;77170
Hovedstaden;10-19;M;83692;79273
Hovedstaden;20-29;K;122750;120323
Hovedstaden;20-29;M;116113;113220
Hovedstaden;30-39;K;110892;108746
Hovedstaden;30-39;M;108199;106077
Hovedstaden;40-49;K;112733;111617
Hovedstaden;40-49;M;109525;108448
Hovedstaden;50-59;K;113277;112664
Hovedstaden;50-59;M;112443;111800
Hovedstaden;60-69;K;89002;88717
Hovedstaden;60-69;M;84362;84041
Hovedstaden;70-79;K;82135;81950
Hovedstaden;70-79;M;68236;68110
Hovedstaden;80-89;K;35924;35812
Hovedstaden;80-89;M;23498;23441
Hovedstaden;90+;K;7249;7208
Hovedstaden;90+;M;2534;2524
Midtjylland;0-9;K;16225;12535
Midtjylland;0-9;M;17330;13364
Midtjylland;10-19;K;69741;67426
Midtjylland;10-19;M;71736;69160
Midtjylland;20-29;K;79915;78570
Midtjylland;20-29;M;81710;80005
Midtjylland;30-39;K;68379;67296
Midtjylland;30-39;M;69165;68044
Midtjylland;40-49;K;77845;77401
Midtjylland;40-49;M;76945;76434
Midtjylland;50-59;K;84501;84225
Midtjylland;50-59;M;84969;84681
Midtjylland;60-69;K;74439;74279
Midtjylland;60-69;M;72901;72753
Midtjylland;70-79;K;63779;63714
Midtjylland;70-79;M;58971;58910
Midtjylland;80-89;K;27398;27340
Midtjylland;80-89;M;20612;20579
Midtjylland;90+;K;5272;5248
Midtjylland;90+;M;2258;2252
Nordjylland;0-9;K;6601;5038
Nordjylland;0-9;M;6912;5227
Nordjylland;10-19;K;28876;27840
Nordjylland;10-19;M;30318;29111
Nordjylland;20-29;K;31581;30940
Nordjylland;20-29;M;35363;34492
Nordjylland;30-39;K;27935;27475
Nordjylland;30-39;M;28869;28309
Nordjylland;40-49;K;32471;32263
Nordjylland;40-49;M;32622;32381
Nordjylland;50-59;K;38486;38330
Nordjylland;50-59;M;38912;38751
Nordjylland;60-69;K;35824;35732
Nordjylland;60-69;M;35321;35237
Nordjylland;70-79;K;31623;31578
Nordjylland;70-79;M;29724;29678
Nordjylland;80-89;K;13910;13889
Nordjylland;80-89;M;10581;10559
Nordjylland;90+;K;2653;2641
Nordjylland;90+;M;1169;1163
Sjælland;0-9;K;8125;6210
Sjælland;0-9;M;8800;6703
Sjælland;10-19;K;40916;39372
Sjælland;10-19;M;43398;41704
Sjælland;20-29;K;30281;29507
Sjælland;20-29;M;33055;32113
Sjælland;30-39;K;37430;36648
Sjælland;30-39;M;36233;35480
Sjælland;40-49;K;50660;50257
Sjælland;40-49;M;48497;48100
Sjælland;50-59;K;60024;59748
Sjælland;50-59;M;60230;59989
Sjælland;60-69;K;52856;52709
Sjælland;60-69;M;51399;51251
Sjælland;70-79;K;49354;49264
Sjælland;70-79;M;44797;44730
Sjælland;80-89;K;19763;19712
Sjælland;80-89;M;14784;14760
Sjælland;90+;K;3469;3445
Sjælland;90+;M;1434;1428
Syddanmark;0-9;K;13545;10685
Syddanmark;0-9;M;14536;11529
Syddanmark;10-19;K;62087;59965
Syddanmark;10-19;M;64117;61806
Syddanmark;20-29;K;57241;56050
Syddanmark;20-29;M;61582;60039
Syddanmark;30-39;K;57520;56506
Syddanmark;30-39;M;57619;56508
Syddanmark;40-49;K;71259;70764
Syddanmark;40-49;M;69627;69047
Syddanmark;50-59;K;82036;81708
Syddanmark;50-59;M;82842;82518
Syddanmark;60-69;K;73576;73409
Syddanmark;60-69;M;72707;72537
Syddanmark;70-79;K;65170;65083
Syddanmark;70-79;M;59995;59907
Syddanmark;80-89;K;29475;29421
Syddanmark;80-89;M;21878;21842
Syddanmark;90+;K;5663;5633
Syddanmark;90+;M;2318;2311
