"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2022-02-10;Hovedstaden;K;773454;757418;567674;773434;757282;567010;20;136;664
2022-02-10;Hovedstaden;M;728070;710969;521593;728082;710868;521070;-12;101;523
2022-02-10;Midtjylland;K;567494;558034;431252;567487;557936;430815;7;98;437
2022-02-10;Midtjylland;M;556597;546182;410607;556601;546104;410246;-4;78;361
2022-02-10;Nordjylland;K;249960;245726;192050;249959;245687;191926;1;39;124
2022-02-10;Nordjylland;M;249791;244908;184678;249796;244864;184570;-5;44;108
2022-02-10;Sjælland;K;352878;346872;271169;352882;346812;270891;-4;60;278
2022-02-10;Sjælland;M;342627;336258;254542;342614;336174;254250;13;84;292
2022-02-10;Syddanmark;K;517572;509224;395158;517583;509163;394886;-11;61;272
2022-02-10;Syddanmark;M;507221;498044;374263;507202;497980;374000;19;64;263
