"dato";"kommunenavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2022-02-10;København;K;260818;255189;184012;260812;255138;183687;6;51;325
2022-02-10;København;M;247533;241630;172874;247539;241600;172616;-6;30;258
2022-02-10;Frederiksberg;K;46137;45334;34875;46128;45319;34812;9;15;63
2022-02-10;Frederiksberg;M;40598;39731;29974;40590;39719;29930;8;12;44
2022-02-10;Ballerup;K;20243;19788;15177;20241;19785;15163;2;3;14
2022-02-10;Ballerup;M;18789;18356;13574;18788;18352;13567;1;4;7
2022-02-10;Brøndby;K;13432;13048;9508;13433;13049;9498;-1;-1;10
2022-02-10;Brøndby;M;12453;12074;8578;12453;12071;8570;0;3;8
2022-02-10;Dragør;K;6334;6188;4806;6333;6185;4804;1;3;2
2022-02-10;Dragør;M;5927;5784;4343;5923;5781;4334;4;3;9
2022-02-10;Gentofte;K;32783;32171;24624;32780;32158;24597;3;13;27
2022-02-10;Gentofte;M;29466;28820;21538;29471;28816;21525;-5;4;13
2022-02-10;Gladsaxe;K;28252;27632;20556;28246;27624;20527;6;8;29
2022-02-10;Gladsaxe;M;27308;26613;19149;27306;26604;19121;2;9;28
2022-02-10;Glostrup;K;9310;9092;6774;9307;9087;6765;3;5;9
2022-02-10;Glostrup;M;8949;8729;6241;8948;8728;6231;1;1;10
2022-02-10;Herlev;K;11784;11494;8666;11780;11489;8664;4;5;2
2022-02-10;Herlev;M;10863;10553;7632;10860;10547;7623;3;6;9
2022-02-10;Albertslund;K;10549;10233;7226;10546;10227;7218;3;6;8
2022-02-10;Albertslund;M;10091;9750;6732;10088;9746;6724;3;4;8
2022-02-10;Hvidovre;K;21278;20696;15178;21284;20693;15171;-6;3;7
2022-02-10;Hvidovre;M;20236;19671;14060;20244;19676;14061;-8;-5;-1
