Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.585.953; 135.915;   7.613;   1.339
Sjælland; 664.714;  38.921;   2.628;     406
Syddanmark; 991.441;  40.522;   1.851;     222
Midtjylland;1.083.038;  50.657;   2.272;     358
Nordjylland; 503.816;  21.242;     996;     188
