"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Antal borgere"
Nordjylland;429071;297321;72.6;50.3;590633
Midtjylland;938997;658407;70.3;49.3;1336145
Syddanmark;857149;611641;70.0;49.9;1225361
Hovedstaden;1273446;941879;68.5;50.7;1858215
Sjælland;599981;462185;71.3;54.9;842034
