"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Antal borgere"
København;423506;269936;66.3;42.2;638986
Frederiksberg;74339;52747;72.4;51.4;102720
Ballerup;33529;26512;68.3;54.0;49081
Brøndby;22069;17850;62.1;50.2;35535
Dragør;10474;8833;71.6;60.4;14623
Gentofte;53056;42890;71.4;57.7;74341
Gladsaxe;46739;35511;67.9;51.6;68876
Glostrup;15774;12116;67.0;51.5;23533
Herlev;19298;15231;66.9;52.8;28837
Albertslund;17081;13389;62.7;49.2;27236
Hvidovre;35318;27167;66.4;51.1;53199
Høje Tåstrup;32986;25434;62.8;48.5;52492
Lyngby-Taarbæk;41116;31828;72.1;55.8;57058
Rødovre;27097;20718;65.8;50.3;41185
Ishøj;13296;10405;57.7;45.2;23044
Tårnby;29154;23113;68.4;54.2;42647
Vallensbæk;10584;8338;64.0;50.4;16535
Furesø;28835;23413;69.9;56.7;41273
Allerød;19009;15240;73.3;58.7;25942
Fredensborg;28838;23238;70.2;56.5;41095
Helsingør;44967;35847;71.2;56.8;63130
Hillerød;37630;29720;72.0;56.9;52277
Hørsholm;18533;15451;74.7;62.3;24797
Rudersdal;41466;33440;72.4;58.4;57306
Egedal;31513;25097;71.4;56.9;44114
Frederikssund;33694;27694;73.5;60.4;45848
Greve;34440;26236;68.0;51.8;50656
Køge;43501;32568;70.6;52.8;61642
Halsnæs;23021;19117;73.2;60.8;31454
Roskilde;64008;46998;71.9;52.8;89073
Solrød;16544;12254;70.2;52.0;23576
Gribskov;30354;25563;73.6;62.0;41218
Odsherred;24739;20310;75.0;61.6;32969
Holbæk;52265;40271;72.0;55.5;72578
Faxe;26292;20016;71.1;54.1;36998
Kalundborg;34557;26939;71.3;55.6;48438
Ringsted;23840;17416;68.0;49.7;35056
Slagelse;55787;43481;70.1;54.6;79598
Stevns;16820;13010;72.3;55.9;23273
Sorø;21579;16925;71.9;56.4;30015
Lejre;20495;15812;71.7;55.3;28581
Lolland;29030;23504;72.0;58.3;40311
Næstved;59284;44767;71.0;53.6;83501
Guldborgsund;43884;35698;72.6;59.1;60424
Vordingborg;32916;25980;72.6;57.3;45345
Bornholm;30170;26041;75.7;65.4;39833
Middelfart;28802;21079;73.0;53.4;39453
Assens;29377;21654;71.9;53.0;40861
Faaborg-Midtfyn;37554;28087;72.4;54.2;51835
Kerteminde;17623;13028;73.5;54.4;23963
Nyborg;23241;17092;72.4;53.3;32096
Odense;141947;91837;69.3;44.9;204747
Svendborg;43025;32413;73.0;55.0;58944
Nordfyn;21000;15397;70.9;52.0;29610
Langeland;9313;7687;75.4;62.2;12352
Ærø;4639;3806;77.2;63.3;6011
Haderslev;37631;25522;67.9;46.1;55407
Billund;18655;13492;70.2;50.8;26583
Sønderborg;53298;38554;72.3;52.3;73737
Tønder;25110;17596;67.9;47.6;36986
Esbjerg;79434;61646;68.8;53.4;115469
Fanø;2606;2206;75.6;64.0;3446
Varde;34757;27277;69.8;54.8;49799
Vejen;29383;20475;68.7;47.9;42760
Aabenraa;40574;28963;69.4;49.5;58499
Fredericia;36285;25525;70.4;49.5;51516
Horsens;64247;44207;68.9;47.4;93218
Kolding;63214;42414;67.9;45.6;93081
Vejle;79681;55891;67.4;47.3;118206
Herning;61366;44264;68.7;49.6;89322
Holstebro;40739;29494;69.5;50.3;58614
Lemvig;14231;11495;73.1;59.1;19466
Struer;15102;11688;72.6;56.2;20807
Syddjurs;31368;24311;72.2;56.0;43448
Norddjurs;26955;20660;73.0;55.9;36947
Favrskov;34133;24781;70.0;50.8;48738
Odder;17210;13093;74.4;56.6;23140
Randers;69151;48362;70.1;49.0;98671
Silkeborg;66537;47070;68.9;48.7;96635
Samsø;2885;2531;77.4;67.9;3727
Skanderborg;45179;32959;70.7;51.6;63934
Århus;245515;153996;69.7;43.7;352447
Ikast-Brande;28469;20729;68.1;49.6;41829
Ringkøbing-Skjern;39642;30532;70.5;54.3;56210
Hedensted;33795;24653;71.8;52.4;47042
Morsø;14973;11689;74.6;58.2;20071
Skive;33477;24939;74.1;55.2;45190
Thisted;31254;23746;72.4;55.0;43162
Viborg;68996;48643;71.3;50.3;96760
Brønderslev;25492;17842;70.4;49.3;36196
Frederikshavn;44619;33282;75.7;56.4;58970
Vesthimmerland;26163;19428;71.9;53.4;36381
Læsø;1441;1396;80.9;78.4;1781
Rebild;21294;14809;69.5;48.4;30622
Mariagerfjord;30411;22865;73.1;55.0;41583
Jammerbugt;27700;20275;72.6;53.1;38166
Aalborg;158805;98601;72.3;44.9;219684
Hjørring;46919;33388;73.3;52.2;64017
