Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     302 (49);     311 (51);     613
10-19;     700 (51);     671 (49);   1.371
20-29;   1.646 (56);   1.293 (44);   2.939
30-39;   1.409 (55);   1.142 (45);   2.551
40-49;   1.628 (57);   1.231 (43);   2.859
50-59;   1.639 (56);   1.269 (44);   2.908
60-69;     838 (48);     906 (52);   1.744
70-79;     572 (46);     661 (54);   1.233
80-89;     499 (57);     379 (43);     878
90+;     201 (72);      77 (28);     278
I alt;   9.434 (54);   7.940 (46);  17.374
