Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     300 (49);     308 (51);     608
10-19;     692 (51);     659 (49);   1.351
20-29;   1.619 (56);   1.254 (44);   2.873
30-39;   1.394 (55);   1.129 (45);   2.523
40-49;   1.614 (57);   1.218 (43);   2.832
50-59;   1.626 (56);   1.258 (44);   2.884
60-69;     836 (48);     904 (52);   1.740
70-79;     569 (46);     660 (54);   1.229
80-89;     499 (57);     378 (43);     877
90+;     201 (72);      77 (28);     278
I alt;   9.350 (54);   7.845 (46);  17.195
