"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
Nordjylland;460246;450877;5486;77.8;76.2;0.9;591582
Midtjylland;1028706;1007873;13502;76.8;75.2;1.0;1339401
Syddanmark;939169;920411;13029;76.6;75.0;1.1;1226568
Hovedstaden;1378976;1342406;18029;74.0;72.0;1.0;1863185
Sjælland;641759;630062;8883;76.2;74.8;1.1;842414
