"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2021-09-24;Hovedstaden;K;711164;692046;10772;710911;691441;9852;253;605;920
2021-09-24;Hovedstaden;M;667812;650360;7257;667596;649818;6743;216;542;514
2021-09-24;Midtjylland;K;520188;509849;7822;520074;509376;6967;114;473;855
2021-09-24;Midtjylland;M;508518;498024;5680;508392;497622;5119;126;402;561
2021-09-24;Nordjylland;K;230528;226079;3162;230497;226052;2800;31;27;362
2021-09-24;Nordjylland;M;229718;224798;2324;229702;224785;2112;16;13;212
2021-09-24;Sjælland;K;326572;320596;4913;326520;320373;4542;52;223;371
2021-09-24;Sjælland;M;315187;309466;3970;315119;309240;3722;68;226;248
2021-09-24;Syddanmark;K;475616;466340;7341;475501;465925;6652;115;415;689
2021-09-24;Syddanmark;M;463553;454071;5688;463441;453586;5252;112;485;436
