"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;460246;450877;591582
Midtjylland;1028706;1007873;1339401
Syddanmark;939169;920411;1226568
Hovedstaden;1378976;1342406;1863185
Sjælland;641759;630062;842414
