"Vaccinenavn";"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc."
AstraZeneca Covid-19 vaccine;Nordjylland;16973;43
AstraZeneca Covid-19 vaccine;Midtjylland;33919;127
AstraZeneca Covid-19 vaccine;Syddanmark;30692;385
AstraZeneca Covid-19 vaccine;Hovedstaden;45967;724
AstraZeneca Covid-19 vaccine;Sjælland;23991;421
Janssen COVID-19 vaccine;Nordjylland;3650;3650
Janssen COVID-19 vaccine;Midtjylland;9878;9878
Janssen COVID-19 vaccine;Syddanmark;7533;7533
Janssen COVID-19 vaccine;Hovedstaden;22492;22492
Janssen COVID-19 vaccine;Sjælland;2795;2795
Moderna Covid-19 Vaccine;Nordjylland;69814;67675
Moderna Covid-19 Vaccine;Midtjylland;120979;116414
Moderna Covid-19 Vaccine;Syddanmark;130276;154608
Moderna Covid-19 Vaccine;Hovedstaden;146595;138220
Moderna Covid-19 Vaccine;Sjælland;81561;101185
Pfizer BioNTech Covid-19 vacc;Nordjylland;369809;379509
Pfizer BioNTech Covid-19 vacc;Midtjylland;863930;881454
Pfizer BioNTech Covid-19 vacc;Syddanmark;770668;757885
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1163922;1180970
Pfizer BioNTech Covid-19 vacc;Sjælland;533412;525661
