"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-04-16,Hovedstaden,K,193360,90533,190343,89554,3017,979
2021-04-16,Hovedstaden,M,124638,56062,122092,55381,2546,681
2021-04-16,Midtjylland,K,141890,69347,139251,67941,2639,1406
2021-04-16,Midtjylland,M,88352,42186,86138,40747,2214,1439
2021-04-16,Nordjylland,K,63980,31870,63683,31127,297,743
2021-04-16,Nordjylland,M,39379,19753,39094,19001,285,752
2021-04-16,Sjælland,K,97858,43129,96841,42249,1017,880
2021-04-16,Sjælland,M,65636,29322,64793,28538,843,784
2021-04-16,Syddanmark,K,126684,64388,125392,63660,1292,728
2021-04-16,Syddanmark,M,80700,41612,79539,40987,1161,625
