"Regionsnavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
Nordjylland,103359,51623,17.5,8.7,590335
Midtjylland,230242,111533,17.3,8.4,1333626
Syddanmark,207384,106000,16.9,8.7,1224361
Hovedstaden,317998,146595,17.1,7.9,1856061
Sjælland,163494,72451,19.5,8.6,839853
