Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.412.027;  96.649;   5.949;   1.192
Sjælland; 573.118;  27.965;   2.049;     358
Syddanmark; 837.911;  26.131;   1.276;     178
Midtjylland; 933.565;  35.753;   1.765;     328
Nordjylland; 457.327;  13.773;     748;     158
