Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     141 (51);     134 (49);     275
10-19;     289 (55);     237 (45);     526
20-29;     989 (62);     606 (38);   1.595
30-39;   1.011 (61);     642 (39);   1.653
40-49;   1.220 (60);     808 (40);   2.028
50-59;   1.257 (60);     845 (40);   2.102
60-69;     661 (50);     672 (50);   1.333
70-79;     441 (45);     531 (55);     972
80-89;     446 (57);     334 (43);     780
90+;     179 (72);      69 (28);     248
I alt;   6.634 (58);   4.878 (42);  11.512
