"Regionsnavn";"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc."
Hovedstaden;0-2;K;3;0
Hovedstaden;0-2;M;0;0
Hovedstaden;3-5;K;2506;1224
Hovedstaden;3-5;M;2706;1363
Hovedstaden;6-11;K;25550;15860
Hovedstaden;6-11;M;26832;16653
Hovedstaden;12-15;K;30712;29005
Hovedstaden;12-15;M;32523;30732
Hovedstaden;16-19;K;34493;33787
Hovedstaden;16-19;M;35253;34330
Hovedstaden;20-39;K;232370;226879
Hovedstaden;20-39;M;223266;217398
Hovedstaden;40-64;K;271696;269529
Hovedstaden;40-64;M;267113;264843
Hovedstaden;65-79;K;126736;126369
Hovedstaden;65-79;M;109447;109135
Hovedstaden;80+;K;48028;47844
Hovedstaden;80+;M;29767;29680
Midtjylland;0-2;K;2;1
Midtjylland;0-2;M;1;0
Midtjylland;3-5;K;2125;1034
Midtjylland;3-5;M;2336;1175
Midtjylland;6-11;K;22988;15949
Midtjylland;6-11;M;24310;16814
Midtjylland;12-15;K;26261;25194
Midtjylland;12-15;M;27369;26279
Midtjylland;16-19;K;29584;29229
Midtjylland;16-19;M;30359;29875
Midtjylland;20-39;K;148262;145305
Midtjylland;20-39;M;150980;147605
Midtjylland;40-64;K;199119;198097
Midtjylland;40-64;M;197843;196794
Midtjylland;65-79;K;101873;101712
Midtjylland;65-79;M;96434;96260
Midtjylland;80+;K;36434;36337
Midtjylland;80+;M;26059;26003
Nordjylland;0-2;K;0;0
Nordjylland;0-2;M;0;0
Nordjylland;3-5;K;842;429
Nordjylland;3-5;M;903;459
Nordjylland;6-11;K;9270;6359
Nordjylland;6-11;M;9652;6599
Nordjylland;12-15;K;10925;10420
Nordjylland;12-15;M;11620;11119
Nordjylland;16-19;K;12317;12156
Nordjylland;16-19;M;12934;12693
Nordjylland;20-39;K;59413;58028
Nordjylland;20-39;M;64409;62658
Nordjylland;40-64;K;88528;88018
Nordjylland;40-64;M;88731;88165
Nordjylland;65-79;K;49792;49681
Nordjylland;65-79;M;47738;47628
Nordjylland;80+;K;18491;18439
Nordjylland;80+;M;13426;13393
Sjælland;0-2;K;0;0
Sjælland;0-2;M;0;0
Sjælland;3-5;K;1064;538
Sjælland;3-5;M;1183;620
Sjælland;6-11;K;11704;7781
Sjælland;6-11;M;12487;8352
Sjælland;12-15;K;15709;15090
Sjælland;12-15;M;16695;16024
Sjælland;16-19;K;17886;17636
Sjælland;16-19;M;19014;18640
Sjælland;20-39;K;67345;65564
Sjælland;20-39;M;69430;67486
Sjælland;40-64;K;136289;135405
Sjælland;40-64;M;133761;132879
Sjælland;65-79;K;76153;75971
Sjælland;65-79;M;70787;70625
Sjælland;80+;K;26091;26002
Sjælland;80+;M;18692;18655
Syddanmark;0-2;K;2;1
Syddanmark;0-2;M;0;0
Syddanmark;3-5;K;1702;848
Syddanmark;3-5;M;1857;957
Syddanmark;6-11;K;19430;13543
Syddanmark;6-11;M;20625;14458
Syddanmark;12-15;K;23397;22397
Syddanmark;12-15;M;24643;23604
Syddanmark;16-19;K;26837;26436
Syddanmark;16-19;M;27376;26852
Syddanmark;20-39;K;114835;112045
Syddanmark;20-39;M;119603;116392
Syddanmark;40-64;K;189055;187958
Syddanmark;40-64;M;187885;186631
Syddanmark;65-79;K;102460;102243
Syddanmark;65-79;M;96905;96685
Syddanmark;80+;K;39203;39084
Syddanmark;80+;M;27715;27646
