"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;60005;36802;297729;20.2;12.4
0-9;M;64059;39400;314328;20.4;12.5
10-19;K;265304;248115;329786;80.4;75.2
10-19;M;276619;258198;346314;79.9;74.6
20-29;K;321891;314174;382443;84.2;82.1
20-29;M;327550;318169;398902;82.1;79.8
30-39;K;300334;293647;350349;85.7;83.8
30-39;M;300138;293370;364358;82.4;80.5
40-49;K;337479;334340;367658;91.8;90.9
40-49;M;329235;325906;368017;89.5;88.6
50-59;K;377802;375850;401182;94.2;93.7
50-59;M;379288;377243;405008;93.6;93.1
60-69;K;328799;327787;342355;96.0;95.7
60-69;M;319093;317994;332058;96.1;95.8
70-79;K;297621;297006;305521;97.4;97.2
70-79;M;269028;268502;275757;97.6;97.4
80-89;K;137639;137264;141530;97.3;97.0
80-89;M;102615;102385;104986;97.7;97.5
90+;K;30608;30442;31950;95.8;95.3
90+;M;13044;12992;13432;97.1;96.7
