"Vaccinenavn";"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc."
AstraZeneca Covid-19 vaccine;Nordjylland;17029;100
AstraZeneca Covid-19 vaccine;Midtjylland;34036;236
AstraZeneca Covid-19 vaccine;Syddanmark;30843;482
AstraZeneca Covid-19 vaccine;Hovedstaden;46462;1124
AstraZeneca Covid-19 vaccine;Sjælland;24016;467
Janssen COVID-19 vaccine;Nordjylland;3681;3681
Janssen COVID-19 vaccine;Midtjylland;9904;9904
Janssen COVID-19 vaccine;Syddanmark;7657;7657
Janssen COVID-19 vaccine;Hovedstaden;22822;22822
Janssen COVID-19 vaccine;Sjælland;2864;2864
Moderna Covid-19 Vaccine;Nordjylland;71570;70762
Moderna Covid-19 Vaccine;Midtjylland;127553;125979
Moderna Covid-19 Vaccine;Syddanmark;136401;163394
Moderna Covid-19 Vaccine;Hovedstaden;153451;151213
Moderna Covid-19 Vaccine;Sjælland;85256;106084
Pfizer BioNTech Covid-19 vacc;Nordjylland;406711;411701
Pfizer BioNTech Covid-19 vacc;Midtjylland;950846;957544
Pfizer BioNTech Covid-19 vacc;Syddanmark;848629;826247
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1276266;1279472
Pfizer BioNTech Covid-19 vacc;Sjælland;582154;567853
