"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;7;2;90643;0.0;0.0
0-2;M;1;0;95563;0.0;0.0
3-5;K;8239;4073;91112;9.0;4.5
3-5;M;8985;4574;96378;9.3;4.7
6-11;K;88942;59492;179071;49.7;33.2
6-11;M;93906;62876;188192;49.9;33.4
12-15;K;107004;102106;132615;80.7;77.0
12-15;M;112850;107758;140158;80.5;76.9
16-19;K;121117;119244;134074;90.3;88.9
16-19;M;124936;122390;140351;89.0;87.2
20-39;K;622225;607821;732792;84.9;82.9
20-39;M;627688;611539;763260;82.2;80.1
40-64;K;884687;879007;946071;93.5;92.9
40-64;M;875333;869312;947478;92.4;91.8
65-79;K;457014;455976;470645;97.1;96.9
65-79;M;421311;420333;433362;97.2;97.0
80+;K;168247;167706;173480;97.0;96.7
80+;M;115659;115377;118418;97.7;97.4
