"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
København;506994;492093;323132;78.6;76.3;50.1;645036
Frederiksberg;86683;84482;60304;83.7;81.6;58.2;103541
Ballerup;38968;37788;27305;79.2;76.8;55.5;49203
Brøndby;25817;24896;17139;72.2;69.6;47.9;35748
Dragør;12270;11857;8821;83.9;81.0;60.3;14631
Gentofte;62177;60327;44094;83.7;81.2;59.4;74251
Gladsaxe;55457;53590;37281;80.0;77.4;53.8;69280
Glostrup;18239;17674;12281;77.7;75.3;52.3;23465
Herlev;22610;21821;15451;78.5;75.8;53.6;28800
Albertslund;20598;19820;13168;74.6;71.8;47.7;27615
Hvidovre;41447;39958;27346;77.9;75.1;51.4;53220
Høje Tåstrup;39610;38252;26222;74.7;72.1;49.4;53035
Lyngby-Taarbæk;48618;47070;34057;84.2;81.5;59.0;57756
Rødovre;32107;30975;21478;77.4;74.7;51.8;41456
Ishøj;16130;15548;10015;69.5;67.0;43.2;23209
Tårnby;34174;33048;23533;80.1;77.5;55.2;42662
Vallensbæk;12547;12127;8345;76.0;73.5;50.6;16500
Furesø;34216;33158;24283;82.7;80.1;58.7;41377
Allerød;21990;21411;15976;85.1;82.9;61.8;25843
Fredensborg;33512;32568;24001;81.3;79.0;58.3;41202
Helsingør;51697;50402;37672;82.3;80.2;59.9;62845
Hillerød;44045;42882;31216;82.7;80.5;58.6;53283
Hørsholm;21114;20585;15692;85.4;83.2;63.4;24733
Rudersdal;48448;47105;35082;84.6;82.3;61.3;57251
Egedal;36896;35859;25730;83.1;80.8;58.0;44374
Frederikssund;38480;37511;27717;84.0;81.9;60.5;45789
Greve;40698;39535;28514;80.1;77.8;56.1;50804
Køge;50371;48832;35494;81.7;79.2;57.6;61656
Halsnæs;25988;25296;19131;82.9;80.7;61.0;31361
Roskilde;74943;73047;53579;83.8;81.6;59.9;89466
Solrød;19483;18938;13567;81.8;79.5;57.0;23812
Gribskov;34142;33324;25492;82.9;81.0;61.9;41161
Odsherred;27610;27079;20720;84.1;82.5;63.1;32826
Holbæk;60599;59133;43138;83.2;81.2;59.2;72851
Faxe;30386;29620;21732;81.8;79.7;58.5;37154
Kalundborg;39737;38864;28464;82.2;80.4;58.9;48366
Ringsted;28153;27406;19752;80.1;78.0;56.2;35136
Slagelse;64893;63202;46492;81.5;79.3;58.4;79672
Stevns;19425;18931;14084;82.7;80.6;60.0;23491
Sorø;25167;24601;18079;83.8;82.0;60.2;30017
Lejre;23719;23168;17276;83.0;81.0;60.4;28585
Lolland;32804;32093;24540;81.8;80.1;61.2;40089
Næstved;69180;67544;49559;82.5;80.6;59.1;83840
Guldborgsund;49691;48675;36922;82.5;80.8;61.3;60265
Vordingborg;37431;36600;27508;82.6;80.7;60.7;45335
Bornholm;34027;33204;26071;85.8;83.8;65.8;39642
Middelfart;33898;33104;25201;85.5;83.5;63.6;39625
Assens;34944;33985;25356;85.4;83.0;62.0;40925
Faaborg-Midtfyn;44180;42984;31990;85.3;82.9;61.7;51822
Kerteminde;20503;19959;14924;85.4;83.1;62.1;24018
Nyborg;27528;26785;19888;85.7;83.4;61.9;32117
Odense;172142;167297;116707;83.6;81.2;56.7;206004
Svendborg;50525;49366;36649;85.4;83.4;61.9;59165
Nordfyn;24955;24226;17799;83.9;81.5;59.9;29729
Langeland;10556;10355;8232;85.8;84.2;66.9;12303
Ærø;5280;5142;4160;87.6;85.3;69.0;6025
Haderslev;45583;44453;32007;82.4;80.4;57.9;55311
Billund;22179;21676;15858;83.2;81.3;59.5;26661
Sønderborg;61612;60074;44439;83.6;81.5;60.3;73732
Tønder;29920;29172;21231;81.3;79.2;57.7;36819
Esbjerg;95650;93352;66674;82.8;80.8;57.7;115473
Fanø;2970;2914;2311;86.7;85.0;67.4;3427
Varde;41166;40136;29760;82.9;80.8;59.9;49647
Vejen;34964;34046;24571;82.1;79.9;57.7;42597
Aabenraa;47244;46162;33970;80.5;78.7;57.9;58669
Fredericia;43000;41965;31179;83.3;81.3;60.4;51593
Horsens;76819;74794;53159;81.3;79.1;56.2;94528
Kolding;76919;75123;52965;82.2;80.3;56.6;93539
Vejle;97812;95504;67339;82.1;80.2;56.5;119104
Herning;74572;72838;51831;83.6;81.6;58.1;89228
Holstebro;49361;48160;34366;84.3;82.3;58.7;58526
Lemvig;16563;16221;12372;85.4;83.6;63.8;19399
Struer;17850;17460;13004;85.8;83.9;62.5;20801
Syddjurs;36877;35909;27110;84.6;82.4;62.2;43602
Norddjurs;31261;30533;23122;84.7;82.7;62.6;36916
Favrskov;41396;40187;28929;84.7;82.2;59.2;48887
Odder;19939;19354;14906;85.6;83.1;64.0;23303
Randers;82536;80431;57699;83.4;81.3;58.3;98992
Silkeborg;80843;78737;57001;83.0;80.8;58.5;97407
Samsø;3247;3203;2596;87.5;86.3;69.9;3712
Skanderborg;53903;52209;38310;83.8;81.1;59.5;64345
Århus;295689;287927;203543;83.2;81.0;57.3;355293
Ikast-Brande;34314;33522;23728;81.9;80.1;56.7;41874
Ringkøbing-Skjern;46858;45686;33143;83.4;81.3;59.0;56192
Hedensted;39544;38641;28482;84.0;82.1;60.5;47086
Morsø;17029;16534;12244;84.9;82.5;61.1;20053
Skive;38823;37934;27975;86.1;84.1;62.1;45084
Thisted;36313;35404;26444;84.3;82.2;61.4;43089
Viborg;81944;79917;57242;84.6;82.5;59.1;96838
Brønderslev;30462;29632;21397;84.1;81.8;59.1;36207
Frederikshavn;50107;49023;36730;85.1;83.3;62.4;58862
Vesthimmerland;30051;29276;21855;82.7;80.6;60.2;36327
Læsø;1530;1502;1274;86.3;84.7;71.9;1773
Rebild;25478;24804;17830;83.1;80.9;58.1;30667
Mariagerfjord;35206;34237;25520;84.6;82.2;61.3;41635
Jammerbugt;32275;31416;23396;84.6;82.3;61.3;38160
Aalborg;186122;181243;127850;84.2;82.0;57.8;221101
Hjørring;54418;53173;38528;85.2;83.3;60.4;63837
