"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;498991;486244;591711
Midtjylland;1122339;1093663;1342013
Syddanmark;1023530;997780;1228305
Hovedstaden;1499001;1454631;1868269
Sjælland;694290;677268;843365
