"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2022-01-18;Hovedstaden;K;772094;750497;531081;771922;749938;526079;172;559;5002
2022-01-18;Hovedstaden;M;726907;704134;486954;726767;703576;481250;140;558;5704
2022-01-18;Midtjylland;K;566648;552858;405872;566586;552364;401953;62;494;3919
2022-01-18;Midtjylland;M;555691;540805;382646;555611;540285;377857;80;520;4789
2022-01-18;Nordjylland;K;249578;243530;181385;249556;243377;180257;22;153;1128
2022-01-18;Nordjylland;M;249413;242714;171683;249383;242571;170159;30;143;1524
2022-01-18;Sjælland;K;352241;343987;258590;352186;343729;256751;55;258;1839
2022-01-18;Sjælland;M;342049;333281;240830;341977;332978;238545;72;303;2285
2022-01-18;Syddanmark;K;516921;504555;373436;516807;504105;370223;114;450;3213
2022-01-18;Syddanmark;M;506609;493225;349774;506505;492714;345829;104;511;3945
