"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
Nordjylland;498991;486244;353068;84.3;82.2;59.7;591711
Midtjylland;1122339;1093663;788518;83.6;81.5;58.8;1342013
Syddanmark;1023530;997780;723210;83.3;81.2;58.9;1228305
Hovedstaden;1499001;1454631;1018035;80.2;77.9;54.5;1868269
Sjælland;694290;677268;499420;82.3;80.3;59.2;843365
