"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;8;2;90644;0.0;0.0
0-2;M;1;0;95563;0.0;0.0
3-5;K;8924;4508;91797;9.7;4.9
3-5;M;9690;5009;97083;10.0;5.2
6-11;K;90148;60528;180277;50.0;33.6
6-11;M;95226;64084;189512;50.2;33.8
12-15;K;119566;114999;145177;82.4;79.2
12-15;M;125592;120764;152900;82.1;79.0
16-19;K;124112;122208;137069;90.5;89.2
16-19;M;126850;124220;142265;89.2;87.3
20-39;K;621909;607545;732476;84.9;82.9
20-39;M;626168;610131;761740;82.2;80.1
40-64;K;891075;885428;952459;93.6;93.0
40-64;M;882334;876377;954479;92.4;91.8
65-79;K;449991;448990;463622;97.1;96.8
65-79;M;412943;411985;424994;97.2;96.9
80+;K;151749;151219;156982;96.7;96.3
80+;M;101865;101589;104624;97.4;97.1
